index,name,Y,X
8,동산중고등학교,36.314427,127.404924
18,중앙로역1번출구,36.328836,127.426724
48,중앙시장,36.329105,127.4336
50,중앙시장,36.32856,127.433933
51,중앙시장,36.328296,127.434413
52,원동네거리,36.327573,127.434851
53,원동네거리,36.32597,127.435358
54,신인동주민센터,36.323514,127.437065
58,인동현대아파트,36.319549,127.438939
61,효동네거리,36.31648,127.440084
97,어진마을아파트,36.320877,127.44382
103,신흥마을아파트후문,36.321258,127.445149
108,미리내아파트,36.316878,127.455621
109,판암역네거리,36.317105,127.455798
112,판암주공4단지,36.321194,127.458736
114,판암역,36.316974,127.459628
115,판암주공5단지,36.322238,127.459748
116,판암역,36.317269,127.459661
131,용운고층아파트,36.328332,127.453548
141,용운동주민센터,36.327987,127.460768
156,대동역2번출구,36.328765,127.441443
157,대동역3번출구,36.329062,127.441729
158,대동역7번출구,36.330284,127.443728
165,자양초등학교,36.331281,127.443906
175,이스트시티아파트,36.328053,127.439351
192,가양네거리,36.346408,127.445333
218,한국전력공사,36.357193,127.434467
220,복합터미널,36.349013,127.435667
224,동부네거리,36.350429,127.439679
231,성남네거리,36.340421,127.435016
232,성남네거리,36.341703,127.435597
234,복합터미널,36.349038,127.437193
256,삼성초등학교,36.336463,127.430093
259,계룡디지텍고입구,36.339353,127.433395
267,목척교,36.330358,127.429897
268,목척교,36.330172,127.430322
269,목척교,36.330624,127.430573
270,목척교,36.330683,127.430775
493,으능정이거리,36.329101,127.427446
494,으능정이거리,36.329633,127.427949
500,세명요양병원,36.335092,127.417633
513,중앙로역6번출구,36.32823,127.424322
530,중촌초등학교,36.341075,127.410069
531,중촌주공2단지,36.344202,127.411366
533,중앙중고등학교,36.339116,127.413025
534,중촌동주민센터,36.338677,127.413132
536,테미삼거리,36.318352,127.418603
542,중구청,36.325672,127.420922
546,대고오거리,36.324142,127.422388
547,대고오거리,36.323542,127.422909
550,중앙로역4번출구,36.32785,127.424068
554,중앙로역4번출구,36.328179,127.424969
558,대흥동성당,36.327033,127.426625
566,부사오거리,36.313387,127.435917
567,문창시장,36.314543,127.438252
580,옥계동,36.299093,127.454549
594,부사오거리,36.314048,127.43449
595,부사오거리,36.312646,127.435513
605,대전충남병무청,36.322998,127.414653
610,오룡역3번출구,36.328373,127.403855
617,서대전역네거리,36.321035,127.406907
620,서대전네거리역3번출구,36.322004,127.410493
621,버드내아파트,36.316006,127.387484
625,태평오거리,36.326552,127.392857
626,태평오거리,36.326185,127.39304
627,삼부아파트,36.323709,127.39385
628,삼부아파트,36.322932,127.393824
637,태평1동주민센터,36.326122,127.396697
647,버드내아파트,36.31583,127.387937
654,유천동서대전농협,36.317897,127.394739
656,유천시장,36.318032,127.396647
659,쌍용예가아파트,36.322587,127.398247
661,유천동현대아파트,36.318837,127.398354
663,서대전육교,36.319012,127.400526
678,동산중고등학교,36.314606,127.404723
682,서대전역네거리,36.320563,127.406437
693,서대전네거리역2번출구,36.321435,127.409593
698,충남대학교병원,36.317802,127.413486
701,대전충남병무청,36.322649,127.415108
704,산성네거리,36.303756,127.386045
705,산성네거리,36.303293,127.386314
706,산성동행정복지센터,36.306148,127.38653
719,산성우성아파트,36.31114,127.393702
794,버드내아파트,36.3161,127.386726
798,으능정이거리,36.329297,127.427161
799,보문오거리,36.317392,127.42518
810,중구청역,36.324147,127.418424
863,변동네거리,36.326345,127.379917
877,배재대학교,36.322803,127.370455
883,서부소방서,36.31025,127.372373
898,도마삼거리,36.311166,127.376208
899,도마삼거리,36.311698,127.376647
904,도마1동행정복지센터,36.314708,127.379145
905,도마1동행정복지센터,36.315396,127.379203
906,도마네거리,36.312647,127.380828
907,도마네거리,36.313805,127.381268
908,도마e편한세상아파트,36.313825,127.382102
909,도마시장,36.314805,127.383507
910,도마시장,36.314645,127.383909
914,정림삼거리,36.307276,127.363946
920,정림동,36.308105,127.365443
928,용문역3번출구,36.337901,127.392492
929,용문역1번출구,36.337083,127.394413
930,용문역8번출구,36.33757,127.394428
936,개나리아파트,36.34336,127.383142
942,서부농협본점,36.342387,127.387483
946,용문역5번출구,36.339158,127.392477
958,국화아파트,36.354167,127.395307
959,청솔아파트,36.351105,127.397192
960,청솔아파트,36.351363,127.398303
963,KT인재개발원,36.33873,127.375439
965,괴정네거리,36.336153,127.378957
971,탄방네거리,36.342168,127.38628
974,롯데백화점,36.340077,127.390742
975,변동오거리,36.329113,127.382086
977,가장네거리,36.330547,127.38509
978,래미안아파트1단지,36.331838,127.385285
980,래미안아파트1단지,36.332398,127.385387
986,롯데아파트,36.33768,127.366737
988,코오롱아파트,36.33432,127.371082
999,한민시장,36.33224,127.383084
1000,한민시장,36.332573,127.383145
1003,갈마아파트2단지,36.342325,127.367165
1004,갈마네거리,36.353495,127.367658
1006,갈마네거리,36.353638,127.368527
1013,한밭고.갈마중입구,36.34675,127.369264
1016,둔산소방서,36.346709,127.369545
1026,큰마을아파트,36.347553,127.37715
1033,은하수네거리,36.350246,127.377471
1034,은하수네거리,36.350898,127.37786
1035,은하수네거리,36.350414,127.378035
1037,대전상공회의소,36.346273,127.37883
1039,갤러리아타임월드,36.352716,127.37907
1040,이마트,36.355155,127.37921
1042,파랑새네거리,36.353063,127.37952
1043,둔산경찰서,36.35854,127.379583
1047,정부청사역,36.357446,127.380664
1052,정부청사역,36.357859,127.382087
1060,대전광역시청,36.351114,127.384858
1063,시청역,36.351405,127.38816
1065,시청역,36.351145,127.38868
1087,한밭초등학교,36.354671,127.39488
1090,가람아파트,36.357366,127.395947
1091,수정타운아파트,36.357667,127.397475
1098,대전일보사,36.353623,127.360673
1099,대전일보사,36.354169,127.361742
1105,월평주공아파트,36.362118,127.369372
1107,황실타운아파트,36.35995,127.370865
1119,통계센터,36.359033,127.37924
1120,선사유적지,36.361703,127.379271
1126,가수원육교.가수원시장,36.304692,127.350839
1129,가수원육교.가수원시장,36.30447,127.351352
1171,건양대병원네거리,36.302511,127.33986
1178,건양대병원네거리,36.30292,127.34336
1284,서구보건소,36.368269,127.379348
1285,서구보건소,36.368565,127.379697
1288,서부소방서,36.309499,127.371719
1289,목련아파트,36.350473,127.390057
1732,반석마을입구,36.395038,127.312809
1990,오정농수산물시장,36.357296,127.407852
1992,신동아아파트,36.358517,127.412411
2048,읍내동현대아파트,36.378349,127.426674
2086,대전지방국세청,36.372147,127.42838
2241,신탄진역,36.449864,127.428959
2242,신탄진역,36.449253,127.429258
2339,구암역,36.356325,127.33241
