정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
농산물유통센터,22470,312,목원대학교 - 목원대학교,2023-06,일반인,0,0,1,0,38,0,39,0,63,0,50,0,68,2,88,3,72,2,59,2,102,2,81,2,95,3,284,1,156,0,47,0,52,0,32,0,29,0,0,0,0,0,0,0,0,0,0,0,
농산물유통센터,22470,312,목원대학교 - 목원대학교,2023-06,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
농산물유통센터,22470,312,목원대학교 - 목원대학교,2023-06,청소년,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,5,0,2,0,2,0,3,0,4,0,3,0,12,2,2,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,
농산물유통센터,22470,312,목원대학교 - 목원대학교,2023-06,경로,0,0,0,0,0,0,0,0,2,0,1,0,3,0,1,2,3,0,2,1,3,0,10,0,12,0,8,0,6,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
농산물유통센터,22470,312,목원대학교 - 목원대학교,2023-06,장애인,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
농산물유통센터,22470,312,목원대학교 - 목원대학교,2023-06,국가유공자,0,0,0,0,1,0,2,0,0,0,4,0,2,0,1,0,1,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
농산물유통센터,22470,313,대전동신과학고 - 대전동신과학고,2023-06,일반인,0,0,2,1,12,0,51,0,39,0,90,1,63,0,114,2,95,1,80,1,147,4,134,2,177,7,249,2,214,1,83,1,36,0,42,0,15,0,0,0,0,0,0,0,0,0,0,0,
농산물유통센터,22470,313,대전동신과학고 - 대전동신과학고,2023-06,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
농산물유통센터,22470,313,대전동신과학고 - 대전동신과학고,2023-06,청소년,0,0,0,0,0,0,23,0,0,0,0,0,4,0,11,0,3,0,0,0,1,0,0,0,3,0,3,0,2,0,8,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
농산물유통센터,22470,313,대전동신과학고 - 대전동신과학고,2023-06,경로,0,0,0,0,0,0,0,0,1,0,0,0,4,0,7,0,7,1,15,0,7,0,7,0,1,0,5,2,1,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
농산물유통센터,22470,313,대전동신과학고 - 대전동신과학고,2023-06,장애인,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
농산물유통센터,22470,313,대전동신과학고 - 대전동신과학고,2023-06,국가유공자,0,0,1,0,2,0,3,0,0,0,1,0,2,0,4,0,4,0,3,0,5,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
농산물유통센터,22470,316,대한통운종점 - 대한통운종점,2023-06,일반인,0,0,1,0,36,0,49,0,58,0,68,1,86,2,61,2,63,0,74,0,78,0,96,1,66,1,170,0,85,0,49,7,52,1,38,0,13,0,0,0,0,0,0,0,0,0,0,0,
농산물유통센터,22470,316,대한통운종점 - 대한통운종점,2023-06,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
농산물유통센터,22470,316,대한통운종점 - 대한통운종점,2023-06,청소년,0,0,0,0,2,1,32,1,5,0,2,0,2,0,4,0,15,0,29,0,23,0,21,0,11,1,7,0,18,2,7,0,6,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,
농산물유통센터,22470,316,대한통운종점 - 대한통운종점,2023-06,경로,0,0,0,0,0,0,0,0,10,0,0,0,6,0,3,0,2,0,3,0,1,0,16,1,3,0,18,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
농산물유통센터,22470,316,대한통운종점 - 대한통운종점,2023-06,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
농산물유통센터,22470,316,대한통운종점 - 대한통운종점,2023-06,국가유공자,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
농산물유통센터,22470,34,서남부터미널기점 - 서남부터미널종점,2023-06,일반인,0,0,0,0,1,21,8,17,29,33,14,9,17,25,20,4,17,15,7,23,50,33,17,15,34,6,41,25,37,14,26,21,32,4,32,10,1,15,0,0,0,0,0,0,0,0,0,0,
농산물유통센터,22470,34,서남부터미널기점 - 서남부터미널종점,2023-06,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
농산물유통센터,22470,34,서남부터미널기점 - 서남부터미널종점,2023-06,청소년,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1,1,0,0,0,0,4,0,0,4,12,7,16,1,4,2,8,2,3,0,4,2,3,0,0,0,0,0,0,0,0,0,0,
농산물유통센터,22470,34,서남부터미널기점 - 서남부터미널종점,2023-06,경로,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,1,1,1,0,1,2,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
농산물유통센터,22470,34,서남부터미널기점 - 서남부터미널종점,2023-06,국가유공자,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
농산물유통센터,22470,513,낭월공영차고지기점 - 낭월공영차고지,2023-06,일반인,0,0,0,0,55,0,101,0,62,1,80,3,106,0,140,0,104,0,158,1,120,0,138,0,273,2,317,2,162,2,74,0,101,2,94,0,20,0,0,0,0,0,0,0,0,0,0,0,
농산물유통센터,22470,513,낭월공영차고지기점 - 낭월공영차고지,2023-06,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
농산물유통센터,22470,513,낭월공영차고지기점 - 낭월공영차고지,2023-06,청소년,0,0,0,0,2,0,33,0,0,0,3,0,21,0,13,0,23,0,40,0,13,0,9,0,5,1,8,0,16,0,5,0,2,0,3,0,22,0,0,0,0,0,0,0,0,0,0,0,
