정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
대전국제통상고,22090,317,대전역동광장종점 - 대전역동광장종점,2023-03,일반인,0,0,0,0,14,5,27,88,53,46,8,29,12,39,16,18,22,20,15,18,7,29,23,32,16,35,10,45,3,31,5,30,2,21,5,27,5,16,0,3,0,0,0,0,0,0,0,0,
대전국제통상고,22090,317,대전역동광장종점 - 대전역동광장종점,2023-03,어린이,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
대전국제통상고,22090,317,대전역동광장종점 - 대전역동광장종점,2023-03,청소년,0,0,0,0,0,37,13,132,2,110,2,2,1,10,1,3,3,7,7,5,4,4,57,6,106,4,15,10,6,1,1,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
대전국제통상고,22090,317,대전역동광장종점 - 대전역동광장종점,2023-03,경로,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,1,1,6,1,5,0,1,1,2,0,2,0,3,0,2,0,14,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
대전국제통상고,22090,317,대전역동광장종점 - 대전역동광장종점,2023-03,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
대전국제통상고,22090,317,대전역동광장종점 - 대전역동광장종점,2023-03,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
대전국제통상고,22090,618,대전동신과학고 - 대전동신과학고,2023-03,일반인,0,0,0,0,18,4,2,55,26,99,30,29,50,51,10,66,27,71,23,90,8,112,15,120,22,138,10,136,13,131,3,142,2,108,2,120,2,118,0,18,0,0,0,0,0,0,0,0,
대전국제통상고,22090,618,대전동신과학고 - 대전동신과학고,2023-03,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
대전국제통상고,22090,618,대전동신과학고 - 대전동신과학고,2023-03,청소년,0,0,0,0,0,2,38,134,2,316,1,4,5,8,1,1,0,8,6,8,10,4,214,15,191,14,19,11,20,5,4,9,1,5,9,6,2,1,1,0,0,0,0,0,0,0,0,0,
대전국제통상고,22090,618,대전동신과학고 - 대전동신과학고,2023-03,경로,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,6,0,3,0,2,1,7,0,13,0,3,0,6,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
대전국제통상고,22090,618,대전동신과학고 - 대전동신과학고,2023-03,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,
대전국제통상고,22090,618,대전동신과학고 - 대전동신과학고,2023-03,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
