정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
대전충남병무청,21240,101,안산동 - 안산동,2023-06,일반인,0,0,3,1,43,24,135,23,242,71,187,28,177,32,129,41,159,22,170,20,138,13,155,28,192,33,135,39,171,36,122,31,88,10,60,8,47,8,0,0,0,0,0,0,0,0,0,0,
대전충남병무청,21240,101,안산동 - 안산동,2023-06,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
대전충남병무청,21240,101,안산동 - 안산동,2023-06,청소년,0,0,0,0,0,0,0,0,3,0,4,0,7,0,5,1,5,0,6,2,4,2,10,3,15,28,7,13,2,2,7,16,1,3,0,0,10,1,0,0,0,0,0,0,0,0,0,0,
대전충남병무청,21240,101,안산동 - 안산동,2023-06,경로,0,0,15,0,16,0,0,1,3,0,8,3,12,4,8,0,14,2,26,6,22,0,17,3,5,3,5,2,1,1,6,1,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,
대전충남병무청,21240,101,안산동 - 안산동,2023-06,장애인,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
대전충남병무청,21240,101,안산동 - 안산동,2023-06,국가유공자,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,6,1,5,0,1,0,1,2,1,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
대전충남병무청,21240,103,수통골기점지 - 수통골기점지,2023-06,일반인,0,0,7,10,73,60,246,61,295,143,275,69,251,78,247,71,239,85,240,84,200,94,256,77,248,131,272,127,276,148,187,54,148,40,161,40,72,55,10,5,0,0,0,0,0,0,0,0,
대전충남병무청,21240,103,수통골기점지 - 수통골기점지,2023-06,어린이,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,1,0,0,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
대전충남병무청,21240,103,수통골기점지 - 수통골기점지,2023-06,청소년,0,0,0,0,1,0,23,0,0,1,2,1,5,1,4,2,15,11,13,7,5,3,27,5,41,18,13,13,8,6,11,10,7,4,17,13,3,3,0,1,0,0,0,0,0,0,0,0,
대전충남병무청,21240,103,수통골기점지 - 수통골기점지,2023-06,경로,0,0,0,0,0,1,19,1,8,5,26,5,21,4,30,6,27,4,43,5,36,7,32,6,44,15,49,9,17,6,17,2,13,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,
대전충남병무청,21240,103,수통골기점지 - 수통골기점지,2023-06,장애인,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0,2,0,0,2,3,0,1,0,3,0,1,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
대전충남병무청,21240,103,수통골기점지 - 수통골기점지,2023-06,국가유공자,0,0,0,0,0,0,1,0,1,0,2,0,6,0,3,0,5,3,6,1,1,1,1,2,4,3,7,4,4,1,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
대전충남병무청,21240,20,대전역동광장종점 - 대전역동광장종점,2023-06,일반인,0,0,0,0,5,0,0,0,10,2,0,0,16,0,0,0,36,2,7,3,2,3,0,0,17,0,24,13,0,0,19,6,0,0,27,2,11,0,0,0,0,0,0,0,0,0,0,0,
대전충남병무청,21240,20,대전역동광장종점 - 대전역동광장종점,2023-06,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
대전충남병무청,21240,20,대전역동광장종점 - 대전역동광장종점,2023-06,청소년,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
대전충남병무청,21240,20,대전역동광장종점 - 대전역동광장종점,2023-06,경로,0,0,0,0,0,0,0,0,3,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
대전충남병무청,21240,20,대전역동광장종점 - 대전역동광장종점,2023-06,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
대전충남병무청,21240,201,원내동공영차고지 - 원내동공영차고지,2023-06,일반인,0,0,0,0,167,89,181,100,308,388,360,269,279,247,312,292,324,320,370,237,307,210,323,207,361,293,392,272,435,359,288,250,223,189,221,183,137,172,0,0,0,0,0,0,0,0,0,0,
대전충남병무청,21240,201,원내동공영차고지 - 원내동공영차고지,2023-06,어린이,0,0,0,0,0,0,0,3,4,7,1,0,0,1,3,1,0,1,1,1,0,0,1,1,2,0,6,1,6,5,3,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
대전충남병무청,21240,201,원내동공영차고지 - 원내동공영차고지,2023-06,청소년,0,0,0,0,1,0,43,7,5,43,10,27,12,18,6,13,8,20,19,10,11,12,24,18,48,22,31,16,23,21,11,13,15,17,17,22,14,12,0,0,0,0,0,0,0,0,0,0,
대전충남병무청,21240,201,원내동공영차고지 - 원내동공영차고지,2023-06,경로,0,0,0,0,5,3,4,7,14,13,37,14,17,8,17,28,20,13,26,22,22,13,27,6,31,22,23,22,17,16,28,8,10,6,13,6,5,1,0,0,0,0,0,0,0,0,0,0,
대전충남병무청,21240,201,원내동공영차고지 - 원내동공영차고지,2023-06,장애인,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,3,1,3,2,2,2,0,2,0,2,2,2,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,
대전충남병무청,21240,201,원내동공영차고지 - 원내동공영차고지,2023-06,국가유공자,0,0,0,0,0,0,0,0,1,1,2,0,2,2,2,0,0,4,2,2,0,2,1,1,4,1,2,2,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
대전충남병무청,21240,202,대전역동광장종점 - 대전역동광장종점,2023-06,일반인,0,0,0,0,29,1,35,3,72,33,48,12,35,18,51,11,30,8,46,11,74,13,62,9,121,23,91,25,137,20,91,13,74,6,28,14,19,1,0,0,0,0,0,0,0,0,0,0,
대전충남병무청,21240,202,대전역동광장종점 - 대전역동광장종점,2023-06,청소년,0,0,0,0,0,0,43,1,0,1,0,0,3,0,1,0,1,1,7,2,2,0,0,6,16,7,6,2,1,1,7,1,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,
