정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
머티네거리,22350,615,대한통운종점 - 대한통운종점,2023-05,일반인,0,0,0,0,27,7,76,37,35,46,45,33,30,42,44,29,57,42,26,55,41,31,27,60,34,56,70,79,98,64,44,38,23,34,10,19,10,19,2,2,0,0,0,0,0,0,0,0,
머티네거리,22350,615,대한통운종점 - 대한통운종점,2023-05,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,1,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
머티네거리,22350,615,대한통운종점 - 대한통운종점,2023-05,청소년,0,0,0,0,0,0,0,4,5,0,2,0,0,1,0,1,0,6,3,8,2,2,2,13,6,10,2,12,4,6,3,3,3,11,3,3,3,3,0,0,0,0,0,0,0,0,0,0,
머티네거리,22350,615,대한통운종점 - 대한통운종점,2023-05,경로,0,0,0,0,0,0,0,1,0,0,1,0,5,1,1,3,0,8,0,0,1,1,0,1,0,0,3,4,0,1,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
머티네거리,22350,615,대한통운종점 - 대한통운종점,2023-05,장애인,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
머티네거리,22350,615,대한통운종점 - 대한통운종점,2023-05,국가유공자,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
머티네거리,22350,619,대전동신과학고 - 대전동신과학고,2023-05,일반인,0,0,0,0,8,21,30,30,26,102,22,26,41,20,50,25,50,28,34,51,21,15,38,29,17,46,41,39,32,42,23,22,14,7,8,17,5,18,0,11,0,0,0,0,0,0,0,0,
머티네거리,22350,619,대전동신과학고 - 대전동신과학고,2023-05,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
머티네거리,22350,619,대전동신과학고 - 대전동신과학고,2023-05,청소년,0,0,0,0,0,3,0,0,1,4,0,1,0,1,0,0,0,3,0,3,1,7,2,17,2,4,1,5,0,1,0,3,0,4,1,1,2,1,0,0,0,0,0,0,0,0,0,0,
머티네거리,22350,619,대전동신과학고 - 대전동신과학고,2023-05,경로,0,0,0,0,0,1,0,0,1,1,0,5,1,3,0,0,1,5,3,1,2,1,0,1,3,3,3,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
머티네거리,22350,619,대전동신과학고 - 대전동신과학고,2023-05,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
머티네거리,22350,619,대전동신과학고 - 대전동신과학고,2023-05,국가유공자,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
