정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
문창동보문교,20830,119,안산동 - 안산동,2023-05,일반인,0,0,25,0,51,7,82,7,154,31,77,13,82,14,76,5,59,7,93,11,77,11,68,3,112,8,145,6,196,5,80,4,63,3,84,3,21,0,0,0,0,0,0,0,0,0,0,0,
문창동보문교,20830,119,안산동 - 안산동,2023-05,어린이,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
문창동보문교,20830,119,안산동 - 안산동,2023-05,청소년,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,1,0,2,0,1,0,0,0,6,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
문창동보문교,20830,119,안산동 - 안산동,2023-05,경로,0,0,19,0,1,0,4,1,26,1,4,0,9,3,3,1,2,10,6,3,9,2,6,1,3,6,0,5,2,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
문창동보문교,20830,119,안산동 - 안산동,2023-05,장애인,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
문창동보문교,20830,119,안산동 - 안산동,2023-05,국가유공자,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
문창동보문교,20830,802,봉산동기점 - 봉산동기점,2023-05,일반인,0,0,0,0,3,10,10,18,14,32,17,32,21,30,16,39,4,45,16,58,13,42,7,59,2,47,14,67,6,74,3,82,2,46,3,28,2,37,1,18,0,0,0,0,0,0,0,0,
문창동보문교,20830,802,봉산동기점 - 봉산동기점,2023-05,어린이,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
문창동보문교,20830,802,봉산동기점 - 봉산동기점,2023-05,청소년,0,0,0,0,0,0,0,0,3,1,0,0,0,1,1,0,0,2,0,0,0,1,0,2,1,2,0,11,0,6,0,3,0,3,0,5,0,1,0,5,0,0,0,0,0,0,0,0,
문창동보문교,20830,802,봉산동기점 - 봉산동기점,2023-05,경로,0,0,0,0,0,1,0,1,0,3,2,2,2,7,3,5,1,7,6,5,5,5,1,5,1,1,1,8,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
문창동보문교,20830,802,봉산동기점 - 봉산동기점,2023-05,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
문창동보문교,20830,802,봉산동기점 - 봉산동기점,2023-05,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
