정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
문화동삼익아파트,22020,311,신대차고지 - 신대차고지,2023-03,일반인,0,0,0,0,18,12,102,46,243,111,196,116,178,93,276,137,251,168,297,173,299,211,355,235,332,261,360,253,484,293,466,229,256,138,261,196,199,107,53,26,0,0,0,0,0,0,0,0,
문화동삼익아파트,22020,311,신대차고지 - 신대차고지,2023-03,어린이,0,0,0,0,0,0,0,1,0,0,4,1,0,0,2,0,0,1,2,0,19,1,143,2,133,5,14,10,10,2,3,6,2,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,
문화동삼익아파트,22020,311,신대차고지 - 신대차고지,2023-03,청소년,0,0,0,0,0,0,33,14,16,17,8,7,17,3,12,5,13,3,48,8,74,17,339,25,320,56,78,35,61,40,78,23,61,17,44,12,42,74,14,6,0,0,0,0,0,0,0,0,
문화동삼익아파트,22020,311,신대차고지 - 신대차고지,2023-03,경로,0,0,0,0,2,0,0,1,10,3,10,6,9,4,25,18,21,23,20,24,17,14,10,23,10,31,5,23,5,37,2,11,1,11,0,6,0,2,0,0,0,0,0,0,0,0,0,0,
문화동삼익아파트,22020,311,신대차고지 - 신대차고지,2023-03,장애인,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,2,0,2,4,1,1,1,2,1,0,2,12,0,6,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
문화동삼익아파트,22020,311,신대차고지 - 신대차고지,2023-03,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,1,2,1,0,1,1,3,0,3,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,
문화동삼익아파트,22020,317,대전역동광장종점 - 대전역동광장종점,2023-03,일반인,0,0,0,0,5,7,4,27,29,49,17,26,34,56,24,58,27,38,22,36,25,27,43,61,42,55,35,67,43,29,22,49,22,34,21,38,21,14,3,7,0,0,0,0,0,0,0,0,
문화동삼익아파트,22020,317,대전역동광장종점 - 대전역동광장종점,2023-03,어린이,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,7,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
문화동삼익아파트,22020,317,대전역동광장종점 - 대전역동광장종점,2023-03,청소년,0,0,0,0,0,0,0,15,7,3,0,2,3,2,0,1,0,3,3,0,1,2,6,6,7,8,2,3,2,6,5,13,0,13,2,9,1,2,1,0,0,0,0,0,0,0,0,0,
문화동삼익아파트,22020,317,대전역동광장종점 - 대전역동광장종점,2023-03,경로,0,0,0,0,0,0,0,1,6,8,19,0,7,4,1,5,7,1,4,1,7,3,5,3,2,1,1,3,3,0,2,1,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,
문화동삼익아파트,22020,317,대전역동광장종점 - 대전역동광장종점,2023-03,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
문화동삼익아파트,22020,317,대전역동광장종점 - 대전역동광장종점,2023-03,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
문화동삼익아파트,22020,33-1,대전역동광장종점 - 대전역동광장종점,2023-03,일반인,0,0,0,0,2,0,0,0,0,0,11,0,0,0,0,0,0,0,1,5,1,2,0,0,0,0,0,0,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
문화동삼익아파트,22020,33-1,대전역동광장종점 - 대전역동광장종점,2023-03,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
