정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
문화동주공아파트,21890,30,낭월공영차고지기점 - 낭월공영차고지,2023-04,일반인,0,0,0,0,0,0,9,5,0,0,26,1,0,0,2,0,0,0,13,1,0,0,10,2,0,0,7,11,0,0,5,3,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,
문화동주공아파트,21890,30,낭월공영차고지기점 - 낭월공영차고지,2023-04,청소년,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
문화동주공아파트,21890,30,낭월공영차고지기점 - 낭월공영차고지,2023-04,경로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
문화동주공아파트,21890,313,대전동신과학고 - 대전동신과학고,2023-04,일반인,0,0,43,0,114,5,41,7,161,7,128,6,99,11,59,22,80,13,62,14,68,18,38,24,59,53,42,47,33,42,19,20,20,12,7,9,7,17,0,0,0,0,0,0,0,0,0,0,
문화동주공아파트,21890,313,대전동신과학고 - 대전동신과학고,2023-04,어린이,0,0,0,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
문화동주공아파트,21890,313,대전동신과학고 - 대전동신과학고,2023-04,청소년,0,0,0,0,0,0,24,15,6,23,4,1,0,1,0,1,3,0,1,6,1,0,12,0,8,5,2,0,12,5,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
문화동주공아파트,21890,313,대전동신과학고 - 대전동신과학고,2023-04,경로,0,0,0,0,0,0,0,0,1,0,3,0,4,1,5,1,10,0,14,3,3,6,1,6,4,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
문화동주공아파트,21890,313,대전동신과학고 - 대전동신과학고,2023-04,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
문화동주공아파트,21890,315,윗사정삼거리 - 오월드기점지,2023-04,일반인,0,0,159,0,282,0,484,18,436,14,332,9,213,10,156,11,173,8,149,13,85,7,86,20,118,17,109,40,98,28,63,18,45,4,13,10,26,19,0,0,0,0,0,0,0,0,0,0,
문화동주공아파트,21890,315,윗사정삼거리 - 오월드기점지,2023-04,어린이,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,2,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
문화동주공아파트,21890,315,윗사정삼거리 - 오월드기점지,2023-04,청소년,0,0,0,0,26,0,34,25,6,15,2,0,6,0,11,0,30,0,5,0,4,0,51,3,126,2,9,3,10,2,13,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,
문화동주공아파트,21890,315,윗사정삼거리 - 오월드기점지,2023-04,경로,0,0,30,0,27,0,3,0,6,0,13,0,6,0,12,0,24,1,10,0,2,0,4,0,3,0,0,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
문화동주공아파트,21890,315,윗사정삼거리 - 오월드기점지,2023-04,장애인,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
문화동주공아파트,21890,315,윗사정삼거리 - 오월드기점지,2023-04,국가유공자,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
