정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
문화육교,21900,33-1,대전역동광장종점 - 대전역동광장종점,2023-02,일반인,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
문화육교,21900,33-2,대전역동광장종점 - 대전역동광장종점,2023-02,일반인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
문화육교,21900,513,낭월공영차고지기점 - 낭월공영차고지,2023-02,일반인,0,0,1,0,34,15,46,7,103,5,17,10,61,7,20,4,20,22,31,8,36,13,21,13,15,12,20,30,20,9,5,7,2,1,4,6,7,0,0,0,0,0,0,0,0,0,0,0,
문화육교,21900,513,낭월공영차고지기점 - 낭월공영차고지,2023-02,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
문화육교,21900,513,낭월공영차고지기점 - 낭월공영차고지,2023-02,청소년,0,0,0,0,0,0,2,0,4,0,3,0,5,0,5,0,4,0,3,0,2,0,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
문화육교,21900,513,낭월공영차고지기점 - 낭월공영차고지,2023-02,경로,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,3,1,2,3,1,1,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
문화육교,21900,615,대한통운종점 - 대한통운종점,2023-02,일반인,0,0,0,0,18,40,31,25,136,64,52,37,39,29,61,61,79,41,67,46,34,47,44,53,22,32,26,33,35,90,24,40,4,22,8,38,5,16,0,0,0,0,0,0,0,0,0,0,
문화육교,21900,615,대한통운종점 - 대한통운종점,2023-02,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,4,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
문화육교,21900,615,대한통운종점 - 대한통운종점,2023-02,청소년,0,0,0,0,1,0,2,0,6,3,3,1,1,3,2,4,4,1,7,2,1,0,0,2,1,4,4,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
문화육교,21900,615,대한통운종점 - 대한통운종점,2023-02,경로,0,0,0,0,0,0,0,1,1,1,11,2,2,0,5,2,10,0,8,3,4,3,3,0,1,0,0,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
문화육교,21900,615,대한통운종점 - 대한통운종점,2023-02,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
문화육교,21900,615,대한통운종점 - 대한통운종점,2023-02,국가유공자,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,3,0,0,2,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
문화육교,21900,619,대전동신과학고 - 대전동신과학고,2023-02,일반인,0,0,3,13,12,40,19,8,61,47,53,19,32,17,34,24,46,27,35,16,33,31,16,34,26,64,25,25,33,63,18,30,10,16,6,39,9,10,0,0,0,0,0,0,0,0,0,0,
문화육교,21900,619,대전동신과학고 - 대전동신과학고,2023-02,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
문화육교,21900,619,대전동신과학고 - 대전동신과학고,2023-02,청소년,0,0,0,0,0,0,8,0,1,1,0,3,4,0,5,0,4,2,2,0,0,1,0,0,2,1,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
문화육교,21900,619,대전동신과학고 - 대전동신과학고,2023-02,경로,0,0,3,0,3,0,1,1,0,0,1,2,0,1,0,1,1,7,1,3,1,0,4,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
문화육교,21900,619,대전동신과학고 - 대전동신과학고,2023-02,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
문화육교,21900,619,대전동신과학고 - 대전동신과학고,2023-02,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
