정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
문화초등학교,21830,314,윗사정삼거리 - 오월드기점지,2023-05,일반인,0,0,0,0,29,28,36,48,89,149,103,51,59,61,90,83,61,108,51,109,55,84,56,151,89,173,73,181,63,217,34,173,43,130,46,116,43,98,1,20,0,0,0,0,0,0,0,0,
문화초등학교,21830,314,윗사정삼거리 - 오월드기점지,2023-05,어린이,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,5,0,3,1,0,2,2,1,5,1,13,0,3,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
문화초등학교,21830,314,윗사정삼거리 - 오월드기점지,2023-05,청소년,0,0,0,0,3,0,35,53,10,129,8,0,7,1,11,1,3,11,23,8,11,21,60,20,41,30,10,36,13,22,8,10,3,5,8,27,8,9,0,0,0,0,0,0,0,0,0,0,
문화초등학교,21830,314,윗사정삼거리 - 오월드기점지,2023-05,경로,0,0,0,0,0,0,0,0,3,0,2,4,1,5,2,2,3,6,2,10,7,8,4,10,3,32,2,18,3,6,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,
문화초등학교,21830,314,윗사정삼거리 - 오월드기점지,2023-05,장애인,0,0,0,0,0,1,1,0,1,1,1,0,0,1,11,0,0,0,0,0,0,0,2,1,0,3,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
문화초등학교,21830,314,윗사정삼거리 - 오월드기점지,2023-05,국가유공자,0,0,0,0,0,0,1,0,0,0,3,0,4,1,4,1,5,0,2,0,3,0,0,0,1,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
문화초등학교,21830,318,윗사정삼거리 - 오월드기점지,2023-05,일반인,0,0,0,0,6,18,17,39,30,50,16,65,22,46,13,56,18,58,18,67,14,64,17,81,30,86,40,115,32,155,14,191,15,114,10,115,2,77,0,13,0,0,0,0,0,0,0,0,
문화초등학교,21830,318,윗사정삼거리 - 오월드기점지,2023-05,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,1,1,2,0,0,0,0,1,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
문화초등학교,21830,318,윗사정삼거리 - 오월드기점지,2023-05,청소년,0,0,0,0,0,0,0,47,2,20,0,0,1,2,0,2,1,3,2,8,0,3,8,9,17,7,0,12,1,8,2,7,1,2,0,4,0,2,1,0,0,0,0,0,0,0,0,0,
문화초등학교,21830,318,윗사정삼거리 - 오월드기점지,2023-05,경로,0,0,0,0,0,0,1,0,1,0,0,7,1,3,1,3,0,1,0,3,0,4,1,3,2,5,0,2,1,8,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
