정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
버드내아파트,21680,1,원내동공영차고지 - 원내동공영차고지,2023-02,일반인,0,0,167,26,140,31,376,34,483,105,262,110,156,51,206,73,141,61,192,80,144,78,133,74,181,93,180,107,146,181,80,85,60,74,19,99,24,63,0,0,0,0,0,0,0,0,0,0,
버드내아파트,21680,1,원내동공영차고지 - 원내동공영차고지,2023-02,어린이,0,0,0,0,1,0,0,0,1,0,0,0,3,0,2,1,3,0,0,0,3,2,0,0,1,4,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
버드내아파트,21680,1,원내동공영차고지 - 원내동공영차고지,2023-02,청소년,0,0,0,0,2,1,6,0,9,0,7,0,14,3,15,2,8,6,24,2,13,5,27,6,40,6,25,6,13,11,7,7,3,7,2,10,0,9,0,0,0,0,0,0,0,0,0,0,
버드내아파트,21680,1,원내동공영차고지 - 원내동공영차고지,2023-02,경로,0,0,0,0,0,0,4,1,12,0,4,2,10,4,9,5,5,2,9,8,5,4,8,2,3,9,4,2,2,2,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
버드내아파트,21680,1,원내동공영차고지 - 원내동공영차고지,2023-02,장애인,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
버드내아파트,21680,1,원내동공영차고지 - 원내동공영차고지,2023-02,국가유공자,0,0,0,0,1,0,0,0,1,0,0,0,0,1,4,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
버드내아파트,21680,113,서남부터미널기점 - 서남부터미널종점,2023-02,일반인,0,0,0,0,0,12,0,24,0,20,0,25,1,31,1,39,2,19,6,35,1,28,0,27,0,42,2,68,2,104,0,54,1,41,0,58,1,70,0,52,0,0,0,0,0,0,0,0,
버드내아파트,21680,113,서남부터미널기점 - 서남부터미널종점,2023-02,청소년,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,3,0,2,2,2,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
버드내아파트,21680,113,서남부터미널기점 - 서남부터미널종점,2023-02,경로,0,0,0,0,0,1,0,0,0,0,0,3,0,2,0,6,0,3,0,4,0,1,0,3,0,1,0,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
버드내아파트,21680,113,서남부터미널기점 - 서남부터미널종점,2023-02,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
