정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
보문오거리,23260,119,안산동 - 안산동,2023-01,일반인,0,0,62,0,117,6,136,6,297,8,307,19,253,12,173,9,326,10,315,9,261,11,255,15,361,10,256,11,336,30,176,9,138,5,120,2,53,1,0,0,0,0,0,0,0,0,0,0,
보문오거리,23260,119,안산동 - 안산동,2023-01,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,7,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
보문오거리,23260,119,안산동 - 안산동,2023-01,청소년,0,0,0,0,0,0,7,0,5,0,12,0,4,0,2,0,6,0,4,0,13,0,8,0,17,0,10,2,18,0,3,0,6,0,9,1,5,0,0,0,0,0,0,0,0,0,0,0,
보문오거리,23260,119,안산동 - 안산동,2023-01,경로,0,0,2,0,14,0,18,0,27,0,17,0,17,0,40,3,34,0,39,1,18,1,31,3,37,1,11,0,7,0,8,1,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,
보문오거리,23260,119,안산동 - 안산동,2023-01,장애인,0,0,0,0,0,0,0,0,9,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,2,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
보문오거리,23260,119,안산동 - 안산동,2023-01,국가유공자,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,3,0,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
보문오거리,23260,618,대전동신과학고 - 대전동신과학고,2023-01,일반인,0,0,0,0,11,3,81,23,56,36,118,81,68,66,87,66,91,82,133,72,109,58,71,42,84,60,64,57,113,86,43,58,53,35,33,58,17,17,0,0,0,0,0,0,0,0,0,0,
보문오거리,23260,618,대전동신과학고 - 대전동신과학고,2023-01,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,4,2,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
보문오거리,23260,618,대전동신과학고 - 대전동신과학고,2023-01,청소년,0,0,0,0,0,2,9,2,18,5,13,4,2,6,3,3,5,3,13,4,5,7,4,4,8,4,19,4,2,2,4,0,3,2,5,0,6,2,0,0,0,0,0,0,0,0,0,0,
보문오거리,23260,618,대전동신과학고 - 대전동신과학고,2023-01,경로,0,0,0,0,0,0,0,1,3,3,10,12,5,8,2,8,7,2,12,6,6,9,9,4,13,5,6,1,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
보문오거리,23260,618,대전동신과학고 - 대전동신과학고,2023-01,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
보문오거리,23260,618,대전동신과학고 - 대전동신과학고,2023-01,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
보문오거리,23260,619,대전동신과학고 - 대전동신과학고,2023-01,일반인,0,0,0,0,13,36,11,19,43,113,56,105,46,54,70,66,74,95,96,50,97,50,105,41,100,74,67,51,174,46,64,34,58,34,44,10,20,9,7,0,0,0,0,0,0,0,0,0,
보문오거리,23260,619,대전동신과학고 - 대전동신과학고,2023-01,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
보문오거리,23260,619,대전동신과학고 - 대전동신과학고,2023-01,청소년,0,0,0,0,0,2,17,2,12,1,6,0,1,2,6,1,1,5,2,1,3,7,5,5,4,2,2,5,3,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,
보문오거리,23260,619,대전동신과학고 - 대전동신과학고,2023-01,경로,0,0,0,0,0,1,0,0,0,1,0,9,6,8,6,11,10,10,8,8,8,3,4,6,4,4,3,3,4,3,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
보문오거리,23260,619,대전동신과학고 - 대전동신과학고,2023-01,장애인,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,2,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
보문오거리,23260,619,대전동신과학고 - 대전동신과학고,2023-01,국가유공자,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,1,0,0,0,1,0,2,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
