정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
사정교,22510,312,목원대학교 - 목원대학교,2023-02,일반인,0,0,0,0,1,3,2,9,13,18,9,46,8,28,3,31,7,49,5,31,6,31,2,35,4,50,8,40,0,58,2,23,0,16,0,22,1,11,0,4,0,0,0,0,0,0,0,0,
사정교,22510,312,목원대학교 - 목원대학교,2023-02,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
사정교,22510,312,목원대학교 - 목원대학교,2023-02,청소년,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,3,0,0,1,2,4,1,0,3,0,1,3,5,0,3,1,4,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,
사정교,22510,312,목원대학교 - 목원대학교,2023-02,경로,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,4,1,0,0,0,1,0,0,3,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
사정교,22510,312,목원대학교 - 목원대학교,2023-02,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
사정교,22510,312,목원대학교 - 목원대학교,2023-02,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
사정교,22510,314,윗사정삼거리 - 오월드기점지,2023-02,일반인,0,0,0,0,0,14,0,40,1,75,3,29,2,28,1,45,2,59,6,53,2,40,0,57,0,54,0,81,2,66,1,56,1,33,0,51,0,40,0,17,0,0,0,0,0,0,0,0,
사정교,22510,314,윗사정삼거리 - 오월드기점지,2023-02,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,1,3,0,0,2,0,2,0,5,0,7,0,4,0,1,0,3,0,3,0,4,0,0,0,0,0,0,0,0,
사정교,22510,314,윗사정삼거리 - 오월드기점지,2023-02,청소년,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,5,2,6,1,5,0,6,0,7,0,20,0,15,0,9,0,8,1,14,0,15,0,20,0,5,0,0,0,0,0,0,0,0,
사정교,22510,314,윗사정삼거리 - 오월드기점지,2023-02,경로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,4,0,0,0,1,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,
사정교,22510,314,윗사정삼거리 - 오월드기점지,2023-02,장애인,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,3,0,0,0,1,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
사정교,22510,314,윗사정삼거리 - 오월드기점지,2023-02,국가유공자,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
사정교,22510,316,대한통운종점 - 대한통운종점,2023-02,일반인,0,0,0,0,0,0,4,9,9,47,3,15,2,16,3,16,1,23,2,16,1,12,0,22,3,33,2,30,2,34,3,20,1,15,1,12,0,12,0,13,0,0,0,0,0,0,0,0,
사정교,22510,316,대한통운종점 - 대한통운종점,2023-02,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
사정교,22510,316,대한통운종점 - 대한통운종점,2023-02,청소년,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,0,9,0,5,0,3,0,1,1,6,0,3,1,5,0,4,0,7,2,8,2,4,0,0,0,0,0,0,0,0,0,0,
사정교,22510,316,대한통운종점 - 대한통운종점,2023-02,경로,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
사정교,22510,316,대한통운종점 - 대한통운종점,2023-02,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
