정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
산성네거리,22280,115,윗사정삼거리 - 오월드기점지,2023-02,일반인,0,0,0,0,0,19,7,57,12,153,12,124,18,127,20,110,15,191,10,136,18,150,20,174,26,221,14,174,23,296,11,133,10,91,10,125,6,59,1,13,0,0,0,0,0,0,0,0,
산성네거리,22280,115,윗사정삼거리 - 오월드기점지,2023-02,어린이,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,2,0,2,3,3,0,0,1,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,
산성네거리,22280,115,윗사정삼거리 - 오월드기점지,2023-02,청소년,0,0,0,0,0,0,0,11,6,2,0,5,0,6,5,3,0,10,0,14,1,14,3,19,1,13,0,14,1,16,1,2,1,9,0,12,0,11,2,0,0,0,0,0,0,0,0,0,
산성네거리,22280,115,윗사정삼거리 - 오월드기점지,2023-02,경로,0,0,0,0,0,3,0,1,0,0,1,6,0,8,0,5,1,3,1,0,0,5,0,7,0,3,0,5,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성네거리,22280,115,윗사정삼거리 - 오월드기점지,2023-02,장애인,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성네거리,22280,115,윗사정삼거리 - 오월드기점지,2023-02,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,2,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성네거리,22280,30,낭월공영차고지기점 - 낭월공영차고지,2023-02,일반인,0,0,0,0,2,15,0,0,0,0,41,16,23,0,76,10,2,2,15,11,23,9,2,0,16,15,6,3,20,19,2,0,6,4,0,0,9,2,0,0,0,0,0,0,0,0,0,0,
산성네거리,22280,30,낭월공영차고지기점 - 낭월공영차고지,2023-02,어린이,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성네거리,22280,30,낭월공영차고지기점 - 낭월공영차고지,2023-02,청소년,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,4,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,
산성네거리,22280,30,낭월공영차고지기점 - 낭월공영차고지,2023-02,경로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
