정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
산성동새마을회관,22410,30,낭월공영차고지기점 - 낭월공영차고지,2023-06,일반인,0,0,0,0,4,0,0,0,0,0,5,0,0,6,0,4,1,0,1,0,2,4,0,0,5,5,0,0,2,37,0,0,2,9,0,0,2,9,0,0,0,0,0,0,0,0,0,0,
산성동새마을회관,22410,30,낭월공영차고지기점 - 낭월공영차고지,2023-06,청소년,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성동새마을회관,22410,30,낭월공영차고지기점 - 낭월공영차고지,2023-06,경로,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성동새마을회관,22410,313,대전동신과학고 - 대전동신과학고,2023-06,일반인,0,0,0,0,52,7,33,5,59,29,18,17,6,30,18,35,6,34,12,42,14,72,6,68,10,125,8,56,11,69,8,99,8,38,3,34,5,22,3,8,0,0,0,0,0,0,0,0,
산성동새마을회관,22410,313,대전동신과학고 - 대전동신과학고,2023-06,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,
산성동새마을회관,22410,313,대전동신과학고 - 대전동신과학고,2023-06,청소년,0,0,0,0,1,0,42,1,4,0,1,0,0,0,0,0,0,5,3,1,1,3,0,4,0,6,3,2,3,3,0,1,0,5,2,1,0,8,0,2,0,0,0,0,0,0,0,0,
산성동새마을회관,22410,313,대전동신과학고 - 대전동신과학고,2023-06,경로,0,0,0,0,0,0,0,2,2,2,0,3,0,1,2,0,0,1,0,4,2,2,1,3,0,5,0,5,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
산성동새마을회관,22410,313,대전동신과학고 - 대전동신과학고,2023-06,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성동새마을회관,22410,313,대전동신과학고 - 대전동신과학고,2023-06,국가유공자,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성동새마을회관,22410,315,윗사정삼거리 - 오월드기점지,2023-06,일반인,0,0,0,0,14,15,11,14,18,16,46,24,15,77,5,48,11,83,9,53,7,51,5,94,9,91,18,91,14,89,15,90,2,58,5,87,3,64,9,10,0,0,0,0,0,0,0,0,
산성동새마을회관,22410,315,윗사정삼거리 - 오월드기점지,2023-06,어린이,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,1,4,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성동새마을회관,22410,315,윗사정삼거리 - 오월드기점지,2023-06,청소년,0,0,0,0,1,0,2,0,1,0,0,0,1,1,1,1,1,4,1,5,0,1,0,13,1,9,2,7,0,4,0,5,1,4,0,2,1,11,1,0,0,0,0,0,0,0,0,0,
산성동새마을회관,22410,315,윗사정삼거리 - 오월드기점지,2023-06,경로,0,0,0,0,1,0,0,1,0,1,1,7,0,1,1,2,0,2,0,2,0,1,0,3,0,5,0,5,0,1,0,2,0,2,0,1,0,18,0,0,0,0,0,0,0,0,0,0,
산성동새마을회관,22410,315,윗사정삼거리 - 오월드기점지,2023-06,장애인,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성동새마을회관,22410,315,윗사정삼거리 - 오월드기점지,2023-06,국가유공자,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
