정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
산성동행정복지센터,22300,115,윗사정삼거리 - 오월드기점지,2023-03,일반인,0,0,0,0,11,87,10,106,44,232,58,158,38,263,48,235,38,247,45,234,56,300,43,348,58,479,61,390,37,402,45,333,20,208,38,271,8,199,0,32,0,0,0,0,0,0,0,0,
산성동행정복지센터,22300,115,윗사정삼거리 - 오월드기점지,2023-03,어린이,0,0,0,0,0,0,17,0,23,0,1,0,0,1,0,0,3,0,2,1,0,0,1,0,8,5,4,1,0,1,1,10,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,
산성동행정복지센터,22300,115,윗사정삼거리 - 오월드기점지,2023-03,청소년,0,0,0,0,0,0,0,3,0,3,0,3,2,4,5,8,0,19,2,10,1,12,2,39,5,44,3,34,5,30,8,17,2,14,0,26,0,15,0,5,0,0,0,0,0,0,0,0,
산성동행정복지센터,22300,115,윗사정삼거리 - 오월드기점지,2023-03,경로,0,0,0,0,1,4,0,15,0,4,2,4,4,13,3,8,7,8,4,12,1,6,3,6,4,7,3,7,0,19,0,14,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,
산성동행정복지센터,22300,115,윗사정삼거리 - 오월드기점지,2023-03,장애인,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,3,0,1,0,1,0,0,1,3,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성동행정복지센터,22300,115,윗사정삼거리 - 오월드기점지,2023-03,국가유공자,0,0,0,0,0,0,0,1,2,11,1,25,1,4,0,1,2,1,0,0,1,8,0,4,4,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
산성동행정복지센터,22300,31,서남부터미널기점 - 서남부터미널종점,2023-03,일반인,0,0,0,0,3,0,0,0,0,0,12,9,0,0,0,0,18,5,0,0,0,0,0,0,0,0,18,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성동행정복지센터,22300,31,서남부터미널기점 - 서남부터미널종점,2023-03,청소년,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성동행정복지센터,22300,31,서남부터미널기점 - 서남부터미널종점,2023-03,경로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성동행정복지센터,22300,312,목원대학교 - 목원대학교,2023-03,일반인,0,0,0,0,13,55,22,73,118,223,97,161,57,123,74,175,66,168,58,186,66,250,63,202,62,261,88,262,74,261,46,202,35,125,32,160,17,77,8,13,0,0,0,0,0,0,0,0,
