정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
산성시장,22330,30,낭월공영차고지기점 - 낭월공영차고지,2023-04,일반인,0,0,0,0,1,23,0,0,0,0,2,6,0,9,1,5,0,1,0,5,2,9,0,0,3,10,1,0,3,29,0,0,13,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
산성시장,22330,30,낭월공영차고지기점 - 낭월공영차고지,2023-04,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성시장,22330,30,낭월공영차고지기점 - 낭월공영차고지,2023-04,청소년,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
산성시장,22330,30,낭월공영차고지기점 - 낭월공영차고지,2023-04,경로,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성시장,22330,30,낭월공영차고지기점 - 낭월공영차고지,2023-04,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성시장,22330,311,신대차고지 - 신대차고지,2023-04,일반인,0,0,0,0,1,42,38,149,36,284,14,280,21,291,18,280,15,314,11,321,16,338,16,379,17,378,21,384,23,445,18,325,5,168,6,117,2,122,0,53,0,0,0,0,0,0,0,0,
산성시장,22330,311,신대차고지 - 신대차고지,2023-04,어린이,0,0,0,0,0,0,0,0,2,2,4,1,5,1,2,1,0,0,0,4,2,21,3,38,1,26,2,4,0,11,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성시장,22330,311,신대차고지 - 신대차고지,2023-04,청소년,0,0,0,0,0,5,0,16,1,16,0,9,1,5,0,14,0,15,0,16,2,41,2,65,1,92,2,50,0,45,1,52,0,39,0,25,0,42,0,12,0,0,0,0,0,0,0,0,
산성시장,22330,311,신대차고지 - 신대차고지,2023-04,경로,0,0,0,0,0,4,0,1,0,5,0,17,1,22,1,11,2,7,0,22,0,18,0,20,0,14,0,15,1,15,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
산성시장,22330,311,신대차고지 - 신대차고지,2023-04,장애인,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,4,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
산성시장,22330,311,신대차고지 - 신대차고지,2023-04,국가유공자,0,0,0,0,0,0,0,0,0,8,1,12,1,7,0,1,0,13,0,4,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성시장,22330,313,대전동신과학고 - 대전동신과학고,2023-04,일반인,0,0,0,0,0,9,9,56,35,49,14,49,22,51,15,72,7,51,10,64,5,71,3,89,4,145,8,83,12,103,1,59,3,40,4,29,1,18,1,1,0,0,0,0,0,0,0,0,
산성시장,22330,313,대전동신과학고 - 대전동신과학고,2023-04,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성시장,22330,313,대전동신과학고 - 대전동신과학고,2023-04,청소년,0,0,0,0,0,0,38,10,0,0,1,1,0,1,0,2,0,2,0,0,0,2,1,8,0,13,2,4,0,5,0,1,0,1,0,4,0,24,0,0,0,0,0,0,0,0,0,0,
산성시장,22330,313,대전동신과학고 - 대전동신과학고,2023-04,경로,0,0,0,0,0,1,0,1,0,0,0,5,0,3,2,3,1,3,0,3,1,4,0,3,1,8,0,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
