정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
산성우성아파트,22430,314,윗사정삼거리 - 오월드기점지,2023-03,일반인,0,0,0,0,222,5,283,30,475,45,414,48,295,34,332,34,240,59,244,68,203,48,159,75,177,65,221,88,210,97,107,63,96,21,70,30,59,34,0,0,0,0,0,0,0,0,0,0,
산성우성아파트,22430,314,윗사정삼거리 - 오월드기점지,2023-03,어린이,0,0,0,0,0,0,23,0,7,0,0,0,3,0,2,0,2,1,4,0,2,0,2,2,1,1,2,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성우성아파트,22430,314,윗사정삼거리 - 오월드기점지,2023-03,청소년,0,0,0,0,22,0,171,2,37,5,21,2,9,2,19,6,21,3,20,9,16,3,21,7,30,9,31,7,41,6,30,2,7,11,3,9,4,16,0,0,0,0,0,0,0,0,0,0,
산성우성아파트,22430,314,윗사정삼거리 - 오월드기점지,2023-03,경로,0,0,0,0,9,0,27,0,12,1,13,4,21,5,13,24,11,2,11,4,14,0,6,4,4,2,3,3,3,1,1,0,0,5,0,0,1,3,0,0,0,0,0,0,0,0,0,0,
산성우성아파트,22430,314,윗사정삼거리 - 오월드기점지,2023-03,장애인,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성우성아파트,22430,314,윗사정삼거리 - 오월드기점지,2023-03,국가유공자,0,0,0,0,2,0,0,0,4,0,3,0,2,0,4,1,2,4,5,1,3,0,3,0,1,3,2,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성우성아파트,22430,318,윗사정삼거리 - 오월드기점지,2023-03,일반인,0,0,136,0,108,8,312,13,318,11,356,21,206,16,136,24,125,21,130,37,94,30,132,27,126,47,117,53,115,44,96,31,45,18,34,4,21,5,0,0,0,0,0,0,0,0,0,0,
산성우성아파트,22430,318,윗사정삼거리 - 오월드기점지,2023-03,어린이,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,3,0,4,0,7,1,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성우성아파트,22430,318,윗사정삼거리 - 오월드기점지,2023-03,청소년,0,0,0,0,1,0,21,0,28,0,17,0,7,1,11,0,2,0,6,0,10,0,9,0,17,2,26,2,12,1,5,1,11,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,
산성우성아파트,22430,318,윗사정삼거리 - 오월드기점지,2023-03,경로,0,0,1,0,7,0,12,0,4,0,24,1,4,1,2,2,3,1,6,1,4,0,5,2,6,4,2,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성우성아파트,22430,318,윗사정삼거리 - 오월드기점지,2023-03,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성우성아파트,22430,318,윗사정삼거리 - 오월드기점지,2023-03,국가유공자,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성우성아파트,22430,33-1,대전역동광장종점 - 대전역동광장종점,2023-03,일반인,0,0,0,0,0,0,51,4,0,0,0,0,5,26,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성우성아파트,22430,33-1,대전역동광장종점 - 대전역동광장종점,2023-03,청소년,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성우성아파트,22430,33-1,대전역동광장종점 - 대전역동광장종점,2023-03,경로,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
