정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
서대전네거리역1번출구,22230,119,안산동 - 안산동,2023-02,일반인,0,0,0,0,4,26,62,165,114,204,64,119,74,123,130,164,88,144,141,155,121,113,82,69,106,76,118,101,206,88,79,36,62,35,89,19,41,14,13,6,0,0,0,0,0,0,0,0,
서대전네거리역1번출구,22230,119,안산동 - 안산동,2023-02,어린이,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서대전네거리역1번출구,22230,119,안산동 - 안산동,2023-02,청소년,0,0,0,0,0,0,1,2,0,0,4,5,0,0,0,6,1,2,1,5,3,5,4,3,1,4,5,2,12,5,4,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,
서대전네거리역1번출구,22230,119,안산동 - 안산동,2023-02,경로,0,0,0,0,0,1,1,12,3,6,13,21,18,6,16,16,8,13,32,17,15,6,5,7,9,7,8,7,6,1,5,3,3,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,
서대전네거리역1번출구,22230,119,안산동 - 안산동,2023-02,장애인,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,1,0,0,0,2,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
서대전네거리역1번출구,22230,119,안산동 - 안산동,2023-02,국가유공자,0,0,0,0,0,6,0,1,0,0,0,0,0,1,0,3,0,3,0,2,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서대전네거리역1번출구,22230,30,낭월공영차고지기점 - 낭월공영차고지,2023-02,일반인,0,0,0,0,4,0,0,0,21,1,2,0,4,11,0,0,10,1,0,0,11,2,0,0,12,4,0,0,38,4,0,0,4,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,
서대전네거리역1번출구,22230,30,낭월공영차고지기점 - 낭월공영차고지,2023-02,청소년,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서대전네거리역1번출구,22230,30,낭월공영차고지기점 - 낭월공영차고지,2023-02,경로,0,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,2,0,0,0,2,5,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서대전네거리역1번출구,22230,30,낭월공영차고지기점 - 낭월공영차고지,2023-02,장애인,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서대전네거리역1번출구,22230,315,윗사정삼거리 - 오월드기점지,2023-02,일반인,0,0,3,11,8,23,15,65,93,161,78,58,50,89,50,95,50,99,64,130,52,108,68,138,58,143,74,129,151,201,59,111,39,115,55,93,35,53,0,0,0,0,0,0,0,0,0,0,
서대전네거리역1번출구,22230,315,윗사정삼거리 - 오월드기점지,2023-02,어린이,0,0,0,0,0,0,0,0,4,0,0,0,3,0,2,0,4,0,0,1,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서대전네거리역1번출구,22230,315,윗사정삼거리 - 오월드기점지,2023-02,청소년,0,0,0,0,0,0,0,3,2,0,12,0,7,0,7,3,0,2,5,3,1,2,6,6,4,6,5,6,5,6,8,12,2,1,4,6,3,7,0,0,0,0,0,0,0,0,0,0,
서대전네거리역1번출구,22230,315,윗사정삼거리 - 오월드기점지,2023-02,경로,0,0,0,0,0,1,0,0,4,3,7,4,3,8,4,17,8,8,7,4,3,3,3,5,14,16,4,10,3,6,3,1,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,
서대전네거리역1번출구,22230,315,윗사정삼거리 - 오월드기점지,2023-02,장애인,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,2,0,0,1,1,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서대전네거리역1번출구,22230,315,윗사정삼거리 - 오월드기점지,2023-02,국가유공자,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
