정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
서대전역네거리,21380,1,원내동공영차고지 - 원내동공영차고지,2023-01,일반인,0,0,3,0,72,18,142,60,373,129,280,124,327,111,397,125,287,117,485,130,477,149,520,162,605,172,515,167,605,192,721,138,274,90,458,67,455,27,59,16,0,0,0,0,0,0,0,0,
서대전역네거리,21380,1,원내동공영차고지 - 원내동공영차고지,2023-01,어린이,0,0,0,0,0,1,0,0,15,0,1,0,1,1,2,0,6,2,3,0,5,0,4,2,5,2,6,2,3,0,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
서대전역네거리,21380,1,원내동공영차고지 - 원내동공영차고지,2023-01,청소년,0,0,0,0,1,1,11,3,3,2,16,7,14,4,19,5,29,5,51,3,45,4,50,9,56,7,50,17,35,6,45,6,25,1,36,12,36,2,4,2,0,0,0,0,0,0,0,0,
서대전역네거리,21380,1,원내동공영차고지 - 원내동공영차고지,2023-01,경로,0,0,0,0,9,0,7,0,7,4,10,2,15,3,14,9,8,7,19,5,13,5,16,11,10,13,9,2,8,6,6,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,
서대전역네거리,21380,1,원내동공영차고지 - 원내동공영차고지,2023-01,장애인,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,2,1,1,1,3,3,1,1,1,1,1,3,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서대전역네거리,21380,1,원내동공영차고지 - 원내동공영차고지,2023-01,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,0,1,4,2,1,4,4,0,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
서대전역네거리,21380,119,안산동 - 안산동,2023-01,일반인,0,0,42,16,26,11,31,47,68,62,112,68,116,59,156,72,154,72,167,77,200,80,214,53,219,59,234,102,248,104,231,40,160,29,187,34,118,18,0,0,0,0,0,0,0,0,0,0,
서대전역네거리,21380,119,안산동 - 안산동,2023-01,어린이,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1,3,1,1,0,2,1,0,2,1,1,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서대전역네거리,21380,119,안산동 - 안산동,2023-01,청소년,0,0,0,0,0,0,0,0,2,5,5,0,5,3,12,4,7,5,11,2,9,3,16,2,17,2,17,2,13,1,11,1,10,3,15,2,7,0,0,0,0,0,0,0,0,0,0,0,
서대전역네거리,21380,119,안산동 - 안산동,2023-01,경로,0,0,0,0,0,0,5,0,4,1,7,0,12,3,3,12,5,13,7,9,9,3,6,4,9,6,10,7,6,4,1,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,
서대전역네거리,21380,119,안산동 - 안산동,2023-01,장애인,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서대전역네거리,21380,119,안산동 - 안산동,2023-01,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,1,0,1,0,2,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
서대전역네거리,21380,20,대전역동광장종점 - 대전역동광장종점,2023-01,일반인,0,0,0,0,2,0,0,0,10,6,0,0,13,3,0,0,25,4,18,4,34,2,0,0,64,3,20,17,0,1,18,3,0,0,15,5,30,2,0,0,0,0,0,0,0,0,0,0,
서대전역네거리,21380,20,대전역동광장종점 - 대전역동광장종점,2023-01,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서대전역네거리,21380,20,대전역동광장종점 - 대전역동광장종점,2023-01,청소년,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,1,1,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,
서대전역네거리,21380,20,대전역동광장종점 - 대전역동광장종점,2023-01,경로,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서대전역네거리,21380,2002,대전역동광장종점 - 대전역동광장종점,2023-01,일반인,0,0,1,1,8,0,46,1,54,3,34,11,18,2,37,4,19,0,41,7,53,6,68,13,66,14,117,13,75,15,60,9,31,15,37,6,34,3,1,0,0,0,0,0,0,0,0,0,
서대전역네거리,21380,2002,대전역동광장종점 - 대전역동광장종점,2023-01,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서대전역네거리,21380,2002,대전역동광장종점 - 대전역동광장종점,2023-01,청소년,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,3,0,1,0,4,1,7,1,3,0,11,3,6,4,2,0,4,1,2,1,5,0,1,0,0,0,0,0,0,0,0,0,
서대전역네거리,21380,2002,대전역동광장종점 - 대전역동광장종점,2023-01,경로,0,0,0,0,0,0,0,0,0,0,1,0,7,0,5,1,1,0,11,0,5,1,6,2,17,1,7,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서대전역네거리,21380,2002,대전역동광장종점 - 대전역동광장종점,2023-01,장애인,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,6,0,3,0,15,2,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서대전역네거리,21380,2002,대전역동광장종점 - 대전역동광장종점,2023-01,국가유공자,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,2,0,2,0,2,0,4,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
서대전역네거리,21380,201,원내동공영차고지 - 원내동공영차고지,2023-01,일반인,0,0,0,0,53,41,147,78,364,171,297,220,290,216,411,205,327,301,482,318,386,284,533,371,643,362,541,428,613,461,572,371,309,341,510,257,312,130,0,0,0,0,0,0,0,0,0,0,
서대전역네거리,21380,201,원내동공영차고지 - 원내동공영차고지,2023-01,어린이,0,0,0,0,0,0,0,1,0,0,5,1,1,0,2,1,4,1,5,1,1,1,5,1,7,1,9,2,3,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
서대전역네거리,21380,201,원내동공영차고지 - 원내동공영차고지,2023-01,청소년,0,0,0,0,0,0,7,4,8,7,20,4,15,5,15,10,24,12,25,15,30,14,38,36,65,29,41,44,44,27,44,34,35,12,32,39,34,14,0,0,0,0,0,0,0,0,0,0,
서대전역네거리,21380,201,원내동공영차고지 - 원내동공영차고지,2023-01,경로,0,0,0,0,21,0,13,0,16,8,13,5,18,5,14,13,19,9,19,17,17,8,23,16,24,25,11,17,17,10,5,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
서대전역네거리,21380,201,원내동공영차고지 - 원내동공영차고지,2023-01,장애인,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,1,1,2,1,0,0,3,2,0,0,0,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서대전역네거리,21380,201,원내동공영차고지 - 원내동공영차고지,2023-01,국가유공자,0,0,0,0,0,0,0,0,0,0,1,0,4,0,3,0,2,2,0,0,1,2,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서대전역네거리,21380,202,대전역동광장종점 - 대전역동광장종점,2023-01,일반인,0,0,0,0,3,1,74,16,56,37,30,9,43,20,85,22,68,10,113,18,83,19,116,28,153,29,128,40,183,43,158,22,45,28,70,23,61,9,0,0,0,0,0,0,0,0,0,0,
