정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
서대전육교,21840,119,안산동 - 안산동,2023-01,일반인,0,0,0,0,18,11,129,38,380,163,160,122,120,70,115,62,136,87,123,121,134,68,97,80,74,109,98,86,137,87,51,51,52,30,73,31,54,59,5,22,0,0,0,0,0,0,0,0,
서대전육교,21840,119,안산동 - 안산동,2023-01,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,6,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서대전육교,21840,119,안산동 - 안산동,2023-01,청소년,0,0,0,0,0,0,6,45,4,22,9,1,2,3,4,2,9,10,2,5,6,2,9,5,4,2,7,6,11,5,5,2,5,1,2,0,8,9,0,9,0,0,0,0,0,0,0,0,
서대전육교,21840,119,안산동 - 안산동,2023-01,경로,0,0,0,0,1,0,1,5,14,4,19,8,11,7,15,7,9,9,10,4,9,10,7,5,5,4,6,6,3,1,6,1,2,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,
서대전육교,21840,119,안산동 - 안산동,2023-01,장애인,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서대전육교,21840,119,안산동 - 안산동,2023-01,국가유공자,0,0,0,0,0,0,0,0,0,0,2,1,5,1,6,0,0,2,6,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서대전육교,21840,20,대전역동광장종점 - 대전역동광장종점,2023-01,일반인,0,0,0,0,9,2,0,0,73,7,0,0,27,4,1,0,21,9,0,0,15,2,7,3,0,2,0,0,40,8,5,5,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,
서대전육교,21840,20,대전역동광장종점 - 대전역동광장종점,2023-01,청소년,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서대전육교,21840,20,대전역동광장종점 - 대전역동광장종점,2023-01,경로,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서대전육교,21840,20,대전역동광장종점 - 대전역동광장종점,2023-01,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서대전육교,21840,20,대전역동광장종점 - 대전역동광장종점,2023-01,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서대전육교,21840,2002,대전역동광장종점 - 대전역동광장종점,2023-01,일반인,0,0,2,0,1,10,29,3,34,55,22,29,11,17,12,31,6,16,15,24,16,34,11,26,4,24,8,25,17,47,4,44,7,25,0,14,8,16,2,3,0,0,0,0,0,0,0,0,
서대전육교,21840,2002,대전역동광장종점 - 대전역동광장종점,2023-01,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서대전육교,21840,2002,대전역동광장종점 - 대전역동광장종점,2023-01,청소년,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,3,0,1,0,0,0,3,1,3,0,2,0,6,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,
서대전육교,21840,2002,대전역동광장종점 - 대전역동광장종점,2023-01,경로,0,0,0,0,0,0,0,0,0,2,3,9,1,6,2,5,0,0,1,0,0,6,1,1,0,2,0,2,2,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서대전육교,21840,2002,대전역동광장종점 - 대전역동광장종점,2023-01,장애인,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
서대전육교,21840,2002,대전역동광장종점 - 대전역동광장종점,2023-01,국가유공자,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,2,0,2,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서대전육교,21840,201,원내동공영차고지 - 원내동공영차고지,2023-01,일반인,0,0,0,0,182,33,407,106,782,201,307,168,361,130,449,137,450,143,350,158,389,128,384,157,285,131,383,172,408,244,259,142,177,86,102,75,88,80,5,12,0,0,0,0,0,0,0,0,
서대전육교,21840,201,원내동공영차고지 - 원내동공영차고지,2023-01,어린이,0,0,0,0,1,0,0,0,0,0,0,0,2,0,6,0,8,0,4,0,8,2,6,1,3,0,3,0,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서대전육교,21840,201,원내동공영차고지 - 원내동공영차고지,2023-01,청소년,0,0,0,0,1,0,15,10,8,11,6,3,11,4,12,8,15,15,22,4,18,6,22,13,17,5,33,7,28,14,14,3,12,4,13,7,2,5,1,3,0,0,0,0,0,0,0,0,
서대전육교,21840,201,원내동공영차고지 - 원내동공영차고지,2023-01,경로,0,0,0,0,9,1,8,2,14,9,15,5,25,3,47,9,32,6,43,9,18,13,14,6,16,11,15,7,6,3,7,4,7,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,
서대전육교,21840,201,원내동공영차고지 - 원내동공영차고지,2023-01,장애인,0,0,0,0,0,0,0,0,3,0,1,0,3,0,2,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
서대전육교,21840,201,원내동공영차고지 - 원내동공영차고지,2023-01,국가유공자,0,0,0,0,0,0,1,0,0,0,5,0,3,2,4,2,2,0,1,1,1,1,5,0,0,1,1,3,2,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
서대전육교,21840,202,대전역동광장종점 - 대전역동광장종점,2023-01,일반인,0,0,0,0,54,9,42,22,150,52,46,25,42,23,53,35,55,22,40,23,56,19,45,27,36,27,74,29,90,48,24,29,25,20,12,8,10,9,2,1,0,0,0,0,0,0,0,0,
서대전육교,21840,202,대전역동광장종점 - 대전역동광장종점,2023-01,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서대전육교,21840,202,대전역동광장종점 - 대전역동광장종점,2023-01,청소년,0,0,0,0,0,0,8,0,6,0,4,0,1,0,2,3,3,0,2,2,3,1,5,3,2,1,7,0,0,1,1,3,1,1,6,1,1,1,0,0,0,0,0,0,0,0,0,0,
서대전육교,21840,202,대전역동광장종점 - 대전역동광장종점,2023-01,경로,0,0,0,0,1,0,0,0,2,1,3,3,5,2,1,2,5,0,5,1,5,1,3,2,5,0,3,1,3,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
서대전육교,21840,202,대전역동광장종점 - 대전역동광장종점,2023-01,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
서대전육교,21840,202,대전역동광장종점 - 대전역동광장종점,2023-01,국가유공자,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서대전육교,21840,314,윗사정삼거리 - 오월드기점지,2023-01,일반인,0,0,0,0,175,53,222,95,371,147,283,119,232,92,168,64,193,115,205,97,178,136,171,100,212,94,290,86,283,167,126,74,111,44,116,47,106,45,0,0,0,0,0,0,0,0,0,0,
서대전육교,21840,314,윗사정삼거리 - 오월드기점지,2023-01,어린이,0,0,0,0,0,0,0,0,1,0,1,0,5,0,1,0,1,0,1,0,4,1,0,3,1,1,2,0,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서대전육교,21840,314,윗사정삼거리 - 오월드기점지,2023-01,청소년,0,0,0,0,5,4,38,17,23,11,5,2,13,2,12,1,14,18,13,7,19,15,19,21,27,9,25,8,16,10,18,8,11,4,10,3,9,7,0,0,0,0,0,0,0,0,0,0,
서대전육교,21840,314,윗사정삼거리 - 오월드기점지,2023-01,경로,0,0,0,0,9,0,17,1,4,4,8,4,6,15,15,5,7,6,8,4,6,4,3,2,1,3,3,8,5,5,1,3,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
서대전육교,21840,314,윗사정삼거리 - 오월드기점지,2023-01,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서대전육교,21840,314,윗사정삼거리 - 오월드기점지,2023-01,국가유공자,0,0,0,0,0,0,1,0,1,0,4,2,1,1,3,0,2,1,2,5,0,2,0,1,1,0,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서대전육교,21840,317,대전역동광장종점 - 대전역동광장종점,2023-01,일반인,0,0,0,0,29,2,12,4,78,14,27,13,65,31,30,12,61,13,46,13,30,13,35,18,37,31,28,23,27,15,10,14,9,4,24,13,11,4,3,1,0,0,0,0,0,0,0,0,
서대전육교,21840,317,대전역동광장종점 - 대전역동광장종점,2023-01,어린이,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,15,1,0,1,0,0,0,1,0,1,1,0,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서대전육교,21840,317,대전역동광장종점 - 대전역동광장종점,2023-01,청소년,0,0,0,0,0,0,2,1,20,0,13,0,4,5,2,0,3,11,4,3,4,2,9,2,6,6,5,2,2,1,3,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,
서대전육교,21840,317,대전역동광장종점 - 대전역동광장종점,2023-01,경로,0,0,0,0,0,0,0,0,4,2,6,0,3,3,5,7,3,1,8,1,3,5,1,3,2,2,3,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
서대전육교,21840,317,대전역동광장종점 - 대전역동광장종점,2023-01,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서대전육교,21840,317,대전역동광장종점 - 대전역동광장종점,2023-01,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서대전육교,21840,608,서남부터미널종점 - 서남부터미널종점,2023-01,일반인,0,0,76,3,43,3,90,7,71,25,157,34,77,8,85,9,107,9,63,14,93,6,76,12,79,6,106,16,134,23,49,10,34,10,42,3,30,3,0,0,0,0,0,0,0,0,0,0,
서대전육교,21840,608,서남부터미널종점 - 서남부터미널종점,2023-01,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서대전육교,21840,608,서남부터미널종점 - 서남부터미널종점,2023-01,청소년,0,0,1,0,1,0,9,0,5,1,0,1,4,4,1,1,4,1,4,1,1,1,3,0,7,3,7,1,0,1,2,0,1,0,10,1,5,1,0,0,0,0,0,0,0,0,0,0,
서대전육교,21840,608,서남부터미널종점 - 서남부터미널종점,2023-01,경로,0,0,0,0,2,0,1,1,2,1,4,9,5,1,7,3,7,0,7,0,8,0,9,0,6,1,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
서대전육교,21840,608,서남부터미널종점 - 서남부터미널종점,2023-01,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서대전육교,21840,608,서남부터미널종점 - 서남부터미널종점,2023-01,국가유공자,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서대전육교,21840,613,비래동종점 - 비래동종점,2023-01,일반인,0,0,1,0,147,24,93,20,264,76,176,48,132,51,126,42,100,48,128,72,103,73,81,68,96,49,133,85,173,90,68,39,46,26,42,16,31,17,0,0,0,0,0,0,0,0,0,0,
서대전육교,21840,613,비래동종점 - 비래동종점,2023-01,어린이,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
