정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
센트럴파크1단지,22070,311,신대차고지 - 신대차고지,2023-06,일반인,0,0,0,0,4,16,13,59,45,128,31,72,32,67,30,79,61,112,60,85,52,118,87,154,49,159,59,157,42,170,51,144,46,147,33,95,22,103,6,46,0,0,0,0,0,0,0,0,
센트럴파크1단지,22070,311,신대차고지 - 신대차고지,2023-06,어린이,0,0,0,0,0,0,0,2,4,18,0,0,0,0,1,0,2,13,16,2,37,1,51,5,32,5,3,8,8,4,4,7,1,16,5,0,0,1,0,0,0,0,0,0,0,0,0,0,
센트럴파크1단지,22070,311,신대차고지 - 신대차고지,2023-06,청소년,0,0,0,0,3,1,2,125,14,60,8,6,15,6,7,11,29,40,58,15,79,14,219,19,109,68,33,41,45,27,25,36,30,13,30,21,39,30,2,4,0,0,0,0,0,0,0,0,
센트럴파크1단지,22070,311,신대차고지 - 신대차고지,2023-06,경로,0,0,0,0,0,2,0,2,1,1,4,7,2,7,5,17,3,14,1,11,1,21,11,3,3,17,0,20,2,5,0,13,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
센트럴파크1단지,22070,311,신대차고지 - 신대차고지,2023-06,장애인,0,0,0,0,0,0,0,0,0,9,0,1,1,0,0,0,0,0,0,0,0,1,0,3,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
센트럴파크1단지,22070,311,신대차고지 - 신대차고지,2023-06,국가유공자,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
센트럴파크1단지,22070,317,대전역동광장종점 - 대전역동광장종점,2023-06,일반인,0,0,0,0,0,3,4,33,14,75,10,8,6,12,2,12,3,18,3,17,10,25,5,24,4,25,7,19,2,20,5,12,4,22,3,24,5,12,2,0,0,0,0,0,0,0,0,0,
센트럴파크1단지,22070,317,대전역동광장종점 - 대전역동광장종점,2023-06,어린이,0,0,0,0,0,0,0,0,1,22,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,1,1,8,1,4,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
센트럴파크1단지,22070,317,대전역동광장종점 - 대전역동광장종점,2023-06,청소년,0,0,0,0,0,0,4,47,1,15,1,10,1,4,0,4,0,3,3,5,0,4,2,8,3,10,7,7,1,3,0,4,0,7,2,4,0,11,1,2,0,0,0,0,0,0,0,0,
센트럴파크1단지,22070,317,대전역동광장종점 - 대전역동광장종점,2023-06,경로,0,0,0,0,0,0,0,5,0,0,0,1,1,2,0,4,0,7,1,0,0,3,1,3,0,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
센트럴파크1단지,22070,317,대전역동광장종점 - 대전역동광장종점,2023-06,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
센트럴파크1단지,22070,33-1,대전역동광장종점 - 대전역동광장종점,2023-06,일반인,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
센트럴파크1단지,22070,33-1,대전역동광장종점 - 대전역동광장종점,2023-06,청소년,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
센트럴파크1단지,22070,33-1,대전역동광장종점 - 대전역동광장종점,2023-06,경로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
센트럴파크1단지,22070,33-1,대전역동광장종점 - 대전역동광장종점,2023-06,국가유공자,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
센트럴파크1단지,22070,33-2,대전역동광장종점 - 대전역동광장종점,2023-06,일반인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
센트럴파크1단지,22070,33-2,대전역동광장종점 - 대전역동광장종점,2023-06,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
센트럴파크1단지,22070,33-2,대전역동광장종점 - 대전역동광장종점,2023-06,청소년,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
센트럴파크1단지,22070,33-2,대전역동광장종점 - 대전역동광장종점,2023-06,경로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
센트럴파크1단지,22070,513,낭월공영차고지기점 - 낭월공영차고지,2023-06,일반인,0,0,0,0,1,4,21,6,29,17,6,13,2,11,4,12,17,25,11,20,7,11,33,19,16,31,12,31,10,38,5,27,4,18,9,19,4,11,2,0,0,0,0,0,0,0,0,0,
센트럴파크1단지,22070,513,낭월공영차고지기점 - 낭월공영차고지,2023-06,어린이,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,1,6,0,20,0,13,0,3,2,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
센트럴파크1단지,22070,513,낭월공영차고지기점 - 낭월공영차고지,2023-06,청소년,0,0,0,0,0,0,8,11,0,6,1,2,2,0,1,1,0,7,40,2,54,1,46,5,94,7,15,5,8,4,1,4,10,2,3,3,2,3,0,0,0,0,0,0,0,0,0,0,
센트럴파크1단지,22070,513,낭월공영차고지기점 - 낭월공영차고지,2023-06,경로,0,0,0,0,0,0,1,0,1,0,2,2,0,2,1,1,0,2,1,2,1,5,2,1,0,0,0,4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,
센트럴파크1단지,22070,513,낭월공영차고지기점 - 낭월공영차고지,2023-06,장애인,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
센트럴파크1단지,22070,513,낭월공영차고지기점 - 낭월공영차고지,2023-06,국가유공자,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
센트럴파크1단지,22070,618,대전동신과학고 - 대전동신과학고,2023-06,일반인,0,0,0,0,4,0,40,62,53,37,37,27,21,22,13,31,21,49,19,37,23,50,24,58,40,75,29,65,20,86,23,87,15,49,8,68,2,80,3,18,0,0,0,0,0,0,0,0,
센트럴파크1단지,22070,618,대전동신과학고 - 대전동신과학고,2023-06,어린이,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,6,5,16,0,3,0,0,3,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
센트럴파크1단지,22070,618,대전동신과학고 - 대전동신과학고,2023-06,청소년,0,0,0,0,5,0,22,47,6,46,0,6,1,2,1,0,10,4,5,5,7,1,39,10,29,10,26,2,20,9,8,13,3,5,3,4,1,15,0,0,0,0,0,0,0,0,0,0,
센트럴파크1단지,22070,618,대전동신과학고 - 대전동신과학고,2023-06,경로,0,0,0,0,0,0,0,1,0,0,4,0,2,1,2,11,5,9,2,2,1,7,0,11,0,4,3,5,1,3,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
센트럴파크1단지,22070,618,대전동신과학고 - 대전동신과학고,2023-06,장애인,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,4,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
센트럴파크1단지,22070,618,대전동신과학고 - 대전동신과학고,2023-06,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
