정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
쌍용예가아파트,21590,318,윗사정삼거리 - 오월드기점지,2023-01,일반인,0,0,0,0,53,27,68,91,106,49,84,89,51,94,81,109,81,139,64,140,91,164,80,234,72,274,104,328,63,308,54,370,48,260,49,218,47,214,1,16,0,0,0,0,0,0,0,0,
쌍용예가아파트,21590,318,윗사정삼거리 - 오월드기점지,2023-01,어린이,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,1,2,0,2,0,5,7,10,3,9,6,0,4,2,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
쌍용예가아파트,21590,318,윗사정삼거리 - 오월드기점지,2023-01,청소년,0,0,0,0,2,0,0,0,0,1,2,0,1,5,1,7,5,11,0,12,2,9,2,20,2,23,2,30,8,31,4,31,3,13,3,40,10,21,0,1,0,0,0,0,0,0,0,0,
쌍용예가아파트,21590,318,윗사정삼거리 - 오월드기점지,2023-01,경로,0,0,0,0,0,1,6,3,1,4,11,9,4,4,2,10,7,14,8,14,3,16,4,8,1,22,1,12,2,5,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,
쌍용예가아파트,21590,318,윗사정삼거리 - 오월드기점지,2023-01,장애인,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
쌍용예가아파트,21590,318,윗사정삼거리 - 오월드기점지,2023-01,국가유공자,0,0,0,0,0,0,0,0,1,0,2,0,2,0,6,0,1,4,0,2,3,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
쌍용예가아파트,21590,603,목원대학교 - 목원대학교,2023-01,일반인,0,0,0,0,9,31,22,23,44,79,106,93,62,90,69,88,43,92,47,133,53,146,64,177,86,197,87,212,92,217,77,133,38,135,37,138,31,134,4,10,0,0,0,0,0,0,0,0,
쌍용예가아파트,21590,603,목원대학교 - 목원대학교,2023-01,어린이,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,2,1,0,0,2,4,4,5,3,2,4,1,6,1,5,0,4,0,7,0,1,0,0,0,0,0,0,0,0,0,0,
쌍용예가아파트,21590,603,목원대학교 - 목원대학교,2023-01,청소년,0,0,0,0,0,1,10,0,5,3,0,14,0,3,3,5,5,31,9,29,7,41,7,54,8,34,17,31,13,49,6,22,3,23,4,42,5,30,1,3,0,0,0,0,0,0,0,0,
쌍용예가아파트,21590,603,목원대학교 - 목원대학교,2023-01,경로,0,0,0,0,0,1,0,7,2,21,4,6,7,14,4,10,4,4,3,9,14,15,7,12,3,9,1,4,0,11,2,38,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,
쌍용예가아파트,21590,603,목원대학교 - 목원대학교,2023-01,장애인,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,2,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
쌍용예가아파트,21590,603,목원대학교 - 목원대학교,2023-01,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
