정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
안복수길,23170,314,윗사정삼거리 - 오월드기점지,2023-02,일반인,0,0,12,0,52,0,139,1,165,2,86,3,50,3,46,0,64,2,113,4,88,3,107,7,54,6,123,20,141,18,61,4,43,1,11,4,3,0,0,0,0,0,0,0,0,0,0,0,
안복수길,23170,314,윗사정삼거리 - 오월드기점지,2023-02,어린이,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
안복수길,23170,314,윗사정삼거리 - 오월드기점지,2023-02,청소년,0,0,0,0,0,0,6,0,1,0,3,0,4,0,7,0,5,1,12,1,13,0,19,2,21,1,28,2,7,0,4,1,4,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,
안복수길,23170,314,윗사정삼거리 - 오월드기점지,2023-02,경로,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
안복수길,23170,314,윗사정삼거리 - 오월드기점지,2023-02,장애인,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
안복수길,23170,314,윗사정삼거리 - 오월드기점지,2023-02,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
안복수길,23170,316,대한통운종점 - 대한통운종점,2023-02,일반인,0,0,7,0,17,0,65,0,44,1,60,0,18,7,32,2,9,3,23,3,16,3,37,7,44,3,18,2,73,11,10,2,5,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,
안복수길,23170,316,대한통운종점 - 대한통운종점,2023-02,어린이,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
안복수길,23170,316,대한통운종점 - 대한통운종점,2023-02,청소년,0,0,14,0,0,0,1,0,0,0,0,0,3,0,0,0,6,0,2,0,3,1,12,0,7,0,12,1,5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,
안복수길,23170,316,대한통운종점 - 대한통운종점,2023-02,경로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
안복수길,23170,316,대한통운종점 - 대한통운종점,2023-02,장애인,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
