정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
안영동검바위마을,22710,316,대한통운종점 - 대한통운종점,2023-05,일반인,0,0,0,0,2,3,6,31,3,29,3,31,20,8,5,11,9,14,6,9,9,8,8,3,10,4,6,3,7,5,5,6,1,1,0,4,1,2,0,1,0,0,0,0,0,0,0,0,
안영동검바위마을,22710,316,대한통운종점 - 대한통운종점,2023-05,청소년,0,0,0,0,0,31,1,258,0,8,0,6,0,1,0,7,0,2,1,2,0,3,0,2,0,1,0,7,0,4,1,8,0,1,2,1,1,5,0,0,0,0,0,0,0,0,0,0,
안영동검바위마을,22710,316,대한통운종점 - 대한통운종점,2023-05,경로,0,0,0,0,0,0,0,1,0,1,0,1,2,2,1,1,0,0,0,0,1,0,2,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
안영동검바위마을,22710,34,서남부터미널기점 - 서남부터미널종점,2023-05,일반인,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,2,0,1,0,3,0,3,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
안영동검바위마을,22710,34,서남부터미널기점 - 서남부터미널종점,2023-05,경로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
안영동검바위마을,22710,513,낭월공영차고지기점 - 낭월공영차고지,2023-05,일반인,0,0,0,0,20,18,0,112,4,26,10,31,10,12,9,16,16,14,11,34,14,17,17,14,18,14,9,10,15,9,4,15,5,9,0,3,0,5,0,1,0,0,0,0,0,0,0,0,
안영동검바위마을,22710,513,낭월공영차고지기점 - 낭월공영차고지,2023-05,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
안영동검바위마을,22710,513,낭월공영차고지기점 - 낭월공영차고지,2023-05,청소년,0,0,0,0,0,10,1,308,0,9,0,4,0,2,0,3,0,1,0,4,0,2,0,3,0,3,0,0,0,5,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
안영동검바위마을,22710,513,낭월공영차고지기점 - 낭월공영차고지,2023-05,경로,0,0,0,0,0,0,0,0,0,3,1,3,0,3,1,3,0,1,1,0,4,0,0,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
안영동검바위마을,22710,513,낭월공영차고지기점 - 낭월공영차고지,2023-05,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
