정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
유천동서대전농협,21750,1,원내동공영차고지 - 원내동공영차고지,2023-06,일반인,0,0,2,1,105,65,112,95,194,136,120,118,98,99,128,117,126,146,144,142,148,173,153,163,195,148,180,232,196,294,147,191,112,132,137,143,154,115,34,51,0,0,0,0,0,0,0,0,
유천동서대전농협,21750,1,원내동공영차고지 - 원내동공영차고지,2023-06,어린이,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,3,0,0,2,0,4,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
유천동서대전농협,21750,1,원내동공영차고지 - 원내동공영차고지,2023-06,청소년,0,0,0,0,14,0,47,0,6,1,2,1,5,2,4,4,4,9,4,7,7,10,7,12,4,30,10,23,7,22,12,5,7,13,7,8,16,7,7,2,0,0,0,0,0,0,0,0,
유천동서대전농협,21750,1,원내동공영차고지 - 원내동공영차고지,2023-06,경로,0,0,0,0,1,1,16,1,2,6,3,4,1,6,4,9,6,10,13,13,11,7,9,12,8,9,4,7,3,7,2,7,2,3,3,1,0,0,0,5,0,0,0,0,0,0,0,0,
유천동서대전농협,21750,1,원내동공영차고지 - 원내동공영차고지,2023-06,장애인,0,0,0,0,0,0,0,0,0,3,1,1,0,1,1,0,0,1,0,12,1,0,9,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
유천동서대전농협,21750,1,원내동공영차고지 - 원내동공영차고지,2023-06,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,1,0,0,1,0,0,1,1,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
유천동서대전농협,21750,119,안산동 - 안산동,2023-06,일반인,0,0,93,5,35,14,120,43,148,85,142,60,132,50,99,55,108,65,121,59,99,63,140,65,117,60,163,67,128,106,139,73,110,83,117,70,95,45,0,0,0,0,0,0,0,0,0,0,
유천동서대전농협,21750,119,안산동 - 안산동,2023-06,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
유천동서대전농협,21750,119,안산동 - 안산동,2023-06,청소년,0,0,0,0,0,0,4,0,0,2,1,0,1,1,2,0,3,1,2,3,5,0,10,13,10,6,6,14,3,12,3,1,5,3,10,9,9,3,0,0,0,0,0,0,0,0,0,0,
유천동서대전농협,21750,119,안산동 - 안산동,2023-06,경로,0,0,1,0,1,2,0,9,3,2,8,2,4,4,3,5,6,10,6,6,4,1,7,10,11,3,7,3,0,3,5,1,4,0,0,7,1,2,0,0,0,0,0,0,0,0,0,0,
