정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
유천시장,21770,1,원내동공영차고지 - 원내동공영차고지,2023-03,일반인,0,0,160,39,86,73,212,133,391,471,184,332,161,143,202,197,192,202,183,267,161,191,119,191,118,277,189,368,243,527,99,217,93,162,72,149,56,87,0,0,0,0,0,0,0,0,0,0,
유천시장,21770,1,원내동공영차고지 - 원내동공영차고지,2023-03,어린이,0,0,0,0,0,0,4,0,10,1,0,0,0,0,0,0,1,1,0,1,0,2,0,1,0,2,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
유천시장,21770,1,원내동공영차고지 - 원내동공영차고지,2023-03,청소년,0,0,0,0,2,0,31,6,4,25,2,4,1,1,6,5,1,12,5,12,2,13,3,34,9,43,5,43,10,11,6,7,7,31,7,38,3,11,0,0,0,0,0,0,0,0,0,0,
유천시장,21770,1,원내동공영차고지 - 원내동공영차고지,2023-03,경로,0,0,1,1,6,7,1,13,1,3,10,7,6,10,3,15,9,13,6,10,12,12,8,8,12,6,4,15,2,12,3,8,4,2,0,2,0,3,0,0,0,0,0,0,0,0,0,0,
유천시장,21770,1,원내동공영차고지 - 원내동공영차고지,2023-03,장애인,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,5,2,3,0,0,2,1,0,1,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
유천시장,21770,1,원내동공영차고지 - 원내동공영차고지,2023-03,국가유공자,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,4,0,1,1,2,0,0,1,3,1,1,0,3,0,1,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,
유천시장,21770,119,안산동 - 안산동,2023-03,일반인,0,0,0,0,6,30,77,38,127,128,113,185,94,112,85,129,96,128,100,111,56,102,78,110,79,181,103,175,143,208,59,98,56,128,30,64,15,86,3,29,0,0,0,0,0,0,0,0,
유천시장,21770,119,안산동 - 안산동,2023-03,어린이,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
유천시장,21770,119,안산동 - 안산동,2023-03,청소년,0,0,0,0,21,0,42,10,4,1,0,0,0,0,0,6,3,1,0,0,0,2,4,4,6,7,1,5,3,5,6,5,26,2,11,3,4,6,0,2,0,0,0,0,0,0,0,0,
유천시장,21770,119,안산동 - 안산동,2023-03,경로,0,0,0,0,0,0,0,1,5,2,5,5,3,2,6,15,5,16,2,10,6,7,7,10,5,13,9,9,1,4,1,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,
유천시장,21770,119,안산동 - 안산동,2023-03,장애인,0,0,0,0,0,0,0,0,0,1,0,1,0,15,0,0,0,0,1,0,1,0,0,2,3,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
유천시장,21770,119,안산동 - 안산동,2023-03,국가유공자,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
유천시장,21770,20,대전역동광장종점 - 대전역동광장종점,2023-03,일반인,0,0,0,0,2,0,0,0,40,9,0,0,8,6,1,0,9,6,0,0,7,5,4,8,0,0,0,0,23,11,4,3,0,0,6,4,2,0,0,0,0,0,0,0,0,0,0,0,
유천시장,21770,20,대전역동광장종점 - 대전역동광장종점,2023-03,경로,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
유천시장,21770,20,대전역동광장종점 - 대전역동광장종점,2023-03,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
유천시장,21770,201,원내동공영차고지 - 원내동공영차고지,2023-03,일반인,0,0,0,0,85,68,177,151,385,309,173,240,253,189,253,259,250,183,235,200,197,214,222,244,210,272,193,315,253,294,150,156,154,148,89,108,59,85,3,5,0,0,0,0,0,0,0,0,
유천시장,21770,201,원내동공영차고지 - 원내동공영차고지,2023-03,어린이,0,0,0,0,0,0,0,0,3,1,0,1,0,1,0,0,1,0,0,0,0,0,2,1,3,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
유천시장,21770,201,원내동공영차고지 - 원내동공영차고지,2023-03,청소년,0,0,0,0,0,0,11,9,14,3,5,7,8,9,15,15,9,6,5,5,2,4,6,22,9,28,6,29,7,17,12,4,9,9,10,7,4,5,2,0,0,0,0,0,0,0,0,0,
유천시장,21770,201,원내동공영차고지 - 원내동공영차고지,2023-03,경로,0,0,0,0,2,3,15,0,4,6,9,12,11,14,15,17,15,10,13,14,10,15,17,7,7,18,7,8,6,2,2,3,2,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,
유천시장,21770,201,원내동공영차고지 - 원내동공영차고지,2023-03,장애인,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,3,0,4,3,0,3,2,0,1,2,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
유천시장,21770,201,원내동공영차고지 - 원내동공영차고지,2023-03,국가유공자,0,0,0,0,0,0,3,0,1,0,0,1,1,1,2,3,1,4,6,3,2,2,2,0,1,3,1,3,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
유천시장,21770,202,대전역동광장종점 - 대전역동광장종점,2023-03,일반인,0,0,0,0,11,8,27,20,48,58,31,41,32,27,33,48,33,40,30,56,17,32,29,40,31,45,26,66,33,63,18,39,16,41,6,15,6,19,0,0,0,0,0,0,0,0,0,0,
유천시장,21770,202,대전역동광장종점 - 대전역동광장종점,2023-03,어린이,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
유천시장,21770,202,대전역동광장종점 - 대전역동광장종점,2023-03,청소년,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,4,1,6,0,1,0,0,0,2,0,1,0,2,0,0,2,0,0,4,0,4,1,3,0,0,0,0,0,0,0,0,0,0,
유천시장,21770,202,대전역동광장종점 - 대전역동광장종점,2023-03,경로,0,0,0,0,3,1,1,0,3,0,1,2,3,2,0,0,1,2,0,3,3,5,1,5,1,4,1,5,1,1,0,2,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
유천시장,21770,202,대전역동광장종점 - 대전역동광장종점,2023-03,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
유천시장,21770,202,대전역동광장종점 - 대전역동광장종점,2023-03,국가유공자,0,0,0,0,0,0,0,1,0,6,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
유천시장,21770,317,대전역동광장종점 - 대전역동광장종점,2023-03,일반인,0,0,0,0,0,4,23,36,52,49,36,23,48,43,35,41,24,28,29,26,23,22,19,36,27,35,25,43,23,43,24,22,28,10,19,9,5,8,3,2,0,0,0,0,0,0,0,0,
