정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
으능정이거리,20050,2,봉산동기점 - 봉산동기점,2023-02,일반인,0,0,97,126,703,429,898,943,629,1611,565,909,614,825,726,873,1136,1070,1236,1013,1651,868,1807,761,1903,827,2192,1002,2252,1008,1583,471,1408,316,1292,368,1229,172,85,9,0,0,0,0,0,0,0,0,
으능정이거리,20050,2,봉산동기점 - 봉산동기점,2023-02,어린이,0,0,0,0,1,1,13,0,0,0,3,1,0,9,14,32,11,26,18,25,32,41,53,18,58,9,45,3,49,11,20,11,29,12,16,2,2,0,0,0,0,0,0,0,0,0,0,0,
으능정이거리,20050,2,봉산동기점 - 봉산동기점,2023-02,청소년,0,0,3,0,31,1,4,6,8,52,9,46,31,70,81,135,73,210,148,202,243,214,271,189,400,162,425,120,454,113,409,46,333,40,352,47,221,15,15,0,0,0,0,0,0,0,0,0,
으능정이거리,20050,2,봉산동기점 - 봉산동기점,2023-02,경로,0,0,0,7,8,15,10,28,23,30,19,38,22,62,40,44,13,54,23,45,21,38,33,26,23,23,43,16,15,11,15,5,11,4,3,4,1,0,0,0,0,0,0,0,0,0,0,0,
으능정이거리,20050,2,봉산동기점 - 봉산동기점,2023-02,장애인,0,0,0,0,1,0,1,2,2,4,3,2,1,3,3,1,6,4,1,3,4,3,2,6,5,3,4,2,2,3,14,1,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,
으능정이거리,20050,2,봉산동기점 - 봉산동기점,2023-02,국가유공자,0,0,0,0,17,0,31,4,13,1,10,3,9,5,12,8,23,3,9,6,3,2,20,0,18,4,6,1,1,1,4,2,5,0,15,1,6,0,0,0,0,0,0,0,0,0,0,0,
으능정이거리,20050,201,원내동공영차고지 - 원내동공영차고지,2023-02,일반인,0,0,0,0,39,139,83,218,156,442,128,376,219,451,333,756,444,751,477,692,657,656,890,670,848,610,995,602,1121,692,847,381,735,217,695,219,398,197,66,15,0,0,0,0,0,0,0,0,
으능정이거리,20050,201,원내동공영차고지 - 원내동공영차고지,2023-02,어린이,0,0,0,0,0,0,0,0,0,1,0,5,2,8,0,22,5,17,8,16,23,5,35,11,33,11,23,10,23,6,10,2,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,
으능정이거리,20050,201,원내동공영차고지 - 원내동공영차고지,2023-02,청소년,0,0,0,0,2,1,8,2,5,10,4,12,16,52,30,101,28,112,73,137,95,146,120,106,175,91,234,97,226,117,168,48,167,27,147,22,94,27,15,2,0,0,0,0,0,0,0,0,
으능정이거리,20050,201,원내동공영차고지 - 원내동공영차고지,2023-02,경로,0,0,0,0,0,2,2,3,2,13,2,15,17,22,5,26,7,30,1,23,11,27,12,21,18,24,4,13,2,8,2,3,2,6,1,8,2,2,0,0,0,0,0,0,0,0,0,0,
