정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
중구보건소,21860,30,낭월공영차고지기점 - 낭월공영차고지,2023-06,일반인,0,0,0,0,95,4,0,0,0,0,15,1,15,15,0,1,7,4,0,0,7,10,0,0,9,26,3,8,3,57,0,0,5,22,0,0,0,20,0,0,0,0,0,0,0,0,0,0,
중구보건소,21860,30,낭월공영차고지기점 - 낭월공영차고지,2023-06,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
중구보건소,21860,30,낭월공영차고지기점 - 낭월공영차고지,2023-06,청소년,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,
중구보건소,21860,30,낭월공영차고지기점 - 낭월공영차고지,2023-06,경로,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3,0,0,1,7,0,2,0,0,0,0,0,15,0,0,0,6,0,0,0,0,0,0,0,0,0,0,
중구보건소,21860,30,낭월공영차고지기점 - 낭월공영차고지,2023-06,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
중구보건소,21860,313,대전동신과학고 - 대전동신과학고,2023-06,일반인,0,0,0,0,80,13,53,8,159,74,136,47,56,66,73,120,56,82,63,128,44,169,47,156,41,221,49,189,17,238,22,167,6,111,21,111,4,78,0,18,0,0,0,0,0,0,0,0,
중구보건소,21860,313,대전동신과학고 - 대전동신과학고,2023-06,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,5,5,4,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,
중구보건소,21860,313,대전동신과학고 - 대전동신과학고,2023-06,청소년,0,0,0,0,41,0,83,2,4,3,0,0,0,1,4,1,2,3,8,5,2,6,10,7,16,26,4,9,2,19,1,8,3,4,8,3,2,13,2,7,0,0,0,0,0,0,0,0,
중구보건소,21860,313,대전동신과학고 - 대전동신과학고,2023-06,경로,0,0,0,0,0,0,0,1,2,1,3,3,8,3,1,8,1,8,5,8,4,12,1,6,1,6,3,7,1,8,0,18,1,8,0,4,0,3,0,0,0,0,0,0,0,0,0,0,
중구보건소,21860,313,대전동신과학고 - 대전동신과학고,2023-06,장애인,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,2,1,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
중구보건소,21860,313,대전동신과학고 - 대전동신과학고,2023-06,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
중구보건소,21860,315,윗사정삼거리 - 오월드기점지,2023-06,일반인,0,0,0,1,55,21,85,42,97,190,81,84,80,130,44,136,39,142,27,126,46,158,57,236,27,216,72,252,20,252,28,252,7,231,9,282,4,231,0,27,0,0,0,0,0,0,0,0,
중구보건소,21860,315,윗사정삼거리 - 오월드기점지,2023-06,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,10,2,3,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
중구보건소,21860,315,윗사정삼거리 - 오월드기점지,2023-06,청소년,0,0,0,0,11,0,8,0,0,0,0,2,1,2,1,2,3,12,2,9,5,6,14,30,11,15,7,12,5,12,5,4,4,7,5,6,9,29,0,2,0,0,0,0,0,0,0,0,
중구보건소,21860,315,윗사정삼거리 - 오월드기점지,2023-06,경로,0,0,0,0,3,2,0,0,2,3,4,6,9,15,0,6,1,17,0,20,3,19,1,14,0,27,0,20,2,8,0,6,0,6,0,6,0,13,0,0,0,0,0,0,0,0,0,0,
중구보건소,21860,315,윗사정삼거리 - 오월드기점지,2023-06,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,2,1,3,0,0,0,13,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
중구보건소,21860,315,윗사정삼거리 - 오월드기점지,2023-06,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
