정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
충남기계공고,21960,30,낭월공영차고지기점 - 낭월공영차고지,2023-05,일반인,0,0,0,0,0,0,1,4,0,0,3,0,0,0,2,0,0,0,4,4,0,0,4,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,
충남기계공고,21960,30,낭월공영차고지기점 - 낭월공영차고지,2023-05,청소년,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
충남기계공고,21960,30,낭월공영차고지기점 - 낭월공영차고지,2023-05,경로,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
충남기계공고,21960,311,신대차고지 - 신대차고지,2023-05,일반인,0,0,3,2,64,12,76,30,74,42,61,20,64,23,57,13,66,17,57,21,70,12,74,26,95,15,39,14,68,13,25,7,41,4,11,6,8,1,0,0,0,0,0,0,0,0,0,0,
충남기계공고,21960,311,신대차고지 - 신대차고지,2023-05,어린이,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
충남기계공고,21960,311,신대차고지 - 신대차고지,2023-05,청소년,0,0,0,0,1,0,6,21,5,13,12,0,11,0,15,0,27,2,26,4,88,1,368,0,431,4,41,0,60,0,25,0,135,1,20,0,2,1,0,0,0,0,0,0,0,0,0,0,
충남기계공고,21960,311,신대차고지 - 신대차고지,2023-05,경로,0,0,0,0,15,0,5,0,9,1,8,2,4,1,4,1,4,3,5,0,5,1,6,0,4,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
충남기계공고,21960,311,신대차고지 - 신대차고지,2023-05,장애인,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,2,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,
충남기계공고,21960,311,신대차고지 - 신대차고지,2023-05,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
충남기계공고,21960,313,대전동신과학고 - 대전동신과학고,2023-05,일반인,0,0,44,0,11,19,14,11,36,9,22,11,33,10,36,5,18,2,38,9,22,3,7,10,23,11,13,6,18,8,9,5,5,5,2,1,5,2,0,0,0,0,0,0,0,0,0,0,
