정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
태평초등학교,21500,317,대전역동광장종점 - 대전역동광장종점,2023-01,일반인,0,0,0,0,25,5,66,17,118,74,70,18,57,23,25,24,50,20,75,40,52,35,23,24,20,38,29,38,13,97,14,74,7,21,23,22,10,19,1,2,0,0,0,0,0,0,0,0,
태평초등학교,21500,317,대전역동광장종점 - 대전역동광장종점,2023-01,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,17,1,8,1,3,0,1,0,4,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
태평초등학교,21500,317,대전역동광장종점 - 대전역동광장종점,2023-01,청소년,0,0,0,0,0,0,21,0,6,0,8,0,7,6,1,7,2,16,8,11,7,17,5,15,7,29,4,12,5,8,6,5,12,1,9,1,2,3,0,1,0,0,0,0,0,0,0,0,
태평초등학교,21500,317,대전역동광장종점 - 대전역동광장종점,2023-01,경로,0,0,0,0,1,1,16,0,7,2,21,1,21,0,2,5,5,3,7,1,7,2,2,1,8,4,0,2,1,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,
태평초등학교,21500,317,대전역동광장종점 - 대전역동광장종점,2023-01,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
태평초등학교,21500,317,대전역동광장종점 - 대전역동광장종점,2023-01,국가유공자,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
태평초등학교,21500,603,목원대학교 - 목원대학교,2023-01,일반인,0,0,0,0,9,20,36,29,40,58,35,71,26,71,42,98,51,72,42,103,29,112,23,147,38,143,37,188,65,231,45,151,34,87,49,107,44,124,4,16,0,0,0,0,0,0,0,0,
태평초등학교,21500,603,목원대학교 - 목원대학교,2023-01,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,7,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
태평초등학교,21500,603,목원대학교 - 목원대학교,2023-01,청소년,0,0,0,0,3,0,6,0,0,1,0,11,1,11,1,6,1,34,4,27,4,18,11,24,7,18,4,24,11,24,3,13,8,36,1,15,1,9,0,0,0,0,0,0,0,0,0,0,
태평초등학교,21500,603,목원대학교 - 목원대학교,2023-01,경로,0,0,0,0,0,0,1,0,1,15,0,6,1,5,1,13,4,16,4,7,2,12,4,27,0,14,0,13,1,13,1,13,0,7,2,12,0,0,0,0,0,0,0,0,0,0,0,0,
태평초등학교,21500,603,목원대학교 - 목원대학교,2023-01,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,7,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
태평초등학교,21500,603,목원대학교 - 목원대학교,2023-01,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
