정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
한국산업인력공단,22100,317,대전역동광장종점 - 대전역동광장종점,2023-03,일반인,0,0,0,0,15,3,109,61,42,122,22,53,38,88,45,64,61,81,61,54,28,56,26,58,27,62,28,44,29,40,10,33,2,44,5,26,10,33,17,4,0,0,0,0,0,0,0,0,
한국산업인력공단,22100,317,대전역동광장종점 - 대전역동광장종점,2023-03,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,6,0,0,2,2,4,3,5,1,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
한국산업인력공단,22100,317,대전역동광장종점 - 대전역동광장종점,2023-03,청소년,0,0,0,0,0,0,22,3,1,8,0,7,4,6,1,1,0,4,9,6,10,12,13,14,19,16,7,16,3,4,5,24,0,11,0,15,0,27,0,1,0,0,0,0,0,0,0,0,
한국산업인력공단,22100,317,대전역동광장종점 - 대전역동광장종점,2023-03,경로,0,0,0,0,0,0,2,0,1,0,2,3,1,4,2,4,5,0,3,6,1,3,11,2,1,1,2,0,0,4,0,7,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
한국산업인력공단,22100,317,대전역동광장종점 - 대전역동광장종점,2023-03,장애인,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
한국산업인력공단,22100,317,대전역동광장종점 - 대전역동광장종점,2023-03,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,6,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
한국산업인력공단,22100,618,대전동신과학고 - 대전동신과학고,2023-03,일반인,0,0,0,0,83,31,134,72,213,230,100,161,72,171,66,138,106,210,93,170,57,160,60,162,89,165,91,170,102,230,39,166,77,117,39,202,26,150,9,46,0,0,0,0,0,0,0,0,
한국산업인력공단,22100,618,대전동신과학고 - 대전동신과학고,2023-03,어린이,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
한국산업인력공단,22100,618,대전동신과학고 - 대전동신과학고,2023-03,청소년,0,0,0,0,0,0,37,7,3,31,4,4,5,8,3,4,5,12,2,15,12,14,58,21,74,24,27,18,25,18,18,15,7,10,40,17,16,17,2,1,0,0,0,0,0,0,0,0,
한국산업인력공단,22100,618,대전동신과학고 - 대전동신과학고,2023-03,경로,0,0,0,0,0,0,0,0,2,1,2,3,1,6,7,13,17,8,14,10,6,9,22,10,9,2,1,6,1,8,3,9,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
한국산업인력공단,22100,618,대전동신과학고 - 대전동신과학고,2023-03,장애인,0,0,0,0,27,0,5,1,1,0,0,0,2,0,0,0,0,0,2,2,0,1,0,1,0,0,1,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,
한국산업인력공단,22100,618,대전동신과학고 - 대전동신과학고,2023-03,국가유공자,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,5,0,5,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
