정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
한밭가든아파트,22270,301,봉산동기점 - 봉산동기점,2023-01,일반인,0,0,134,0,336,0,713,6,474,25,375,18,322,30,266,24,293,17,389,21,302,13,309,24,350,18,439,14,468,17,301,14,197,4,221,4,119,3,0,0,0,0,0,0,0,0,0,0,
한밭가든아파트,22270,301,봉산동기점 - 봉산동기점,2023-01,어린이,0,0,0,0,0,0,0,0,1,0,1,0,1,6,2,3,1,3,4,1,1,4,4,6,9,5,4,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
한밭가든아파트,22270,301,봉산동기점 - 봉산동기점,2023-01,청소년,0,0,0,0,1,0,28,0,28,1,32,2,23,0,34,4,27,3,33,2,33,3,51,6,50,1,41,0,51,2,40,1,11,2,13,2,8,0,0,0,0,0,0,0,0,0,0,0,
한밭가든아파트,22270,301,봉산동기점 - 봉산동기점,2023-01,경로,0,0,1,0,0,0,38,0,1,0,5,0,4,0,4,0,8,0,11,0,14,0,17,0,17,0,15,0,4,0,4,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,
한밭가든아파트,22270,301,봉산동기점 - 봉산동기점,2023-01,장애인,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0,1,1,1,0,4,0,2,0,5,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
한밭가든아파트,22270,301,봉산동기점 - 봉산동기점,2023-01,국가유공자,0,0,0,0,0,0,1,0,0,0,3,1,4,0,11,0,8,0,3,1,2,0,7,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
한밭가든아파트,22270,312,목원대학교 - 목원대학교,2023-01,일반인,0,0,0,0,2,30,7,29,14,31,37,53,30,42,37,45,19,63,19,55,39,73,37,72,28,73,39,80,36,78,40,29,15,27,17,39,11,17,10,1,0,0,0,0,0,0,0,0,
한밭가든아파트,22270,312,목원대학교 - 목원대학교,2023-01,어린이,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,0,3,0,2,3,3,0,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
한밭가든아파트,22270,312,목원대학교 - 목원대학교,2023-01,청소년,0,0,0,0,0,0,5,0,34,2,6,1,5,1,1,9,6,2,1,1,10,0,11,3,15,4,20,2,16,4,14,2,1,1,9,2,7,0,1,0,0,0,0,0,0,0,0,0,
한밭가든아파트,22270,312,목원대학교 - 목원대학교,2023-01,경로,0,0,0,0,0,0,0,3,0,0,0,0,1,5,0,8,1,4,1,1,2,5,1,2,0,6,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
한밭가든아파트,22270,312,목원대학교 - 목원대학교,2023-01,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
한밭가든아파트,22270,312,목원대학교 - 목원대학교,2023-01,국가유공자,0,0,0,0,0,0,0,0,0,0,10,0,7,1,1,1,0,1,0,1,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
한밭가든아파트,22270,314,윗사정삼거리 - 오월드기점지,2023-01,일반인,0,0,0,0,6,49,23,100,20,153,41,121,28,116,46,131,45,153,49,160,63,138,62,142,84,201,86,224,82,295,72,255,44,152,52,167,42,119,29,7,0,0,0,0,0,0,0,0,
한밭가든아파트,22270,314,윗사정삼거리 - 오월드기점지,2023-01,어린이,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,4,2,1,1,1,2,6,0,3,1,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
한밭가든아파트,22270,314,윗사정삼거리 - 오월드기점지,2023-01,청소년,0,0,0,0,0,0,13,2,31,1,8,5,9,6,6,7,6,7,16,5,8,8,28,16,17,20,51,28,31,16,27,28,25,19,16,19,16,22,7,1,0,0,0,0,0,0,0,0,
한밭가든아파트,22270,314,윗사정삼거리 - 오월드기점지,2023-01,경로,0,0,0,0,0,0,0,2,0,9,0,7,0,6,0,4,0,4,0,2,0,4,1,15,7,13,0,16,0,4,1,3,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,
한밭가든아파트,22270,314,윗사정삼거리 - 오월드기점지,2023-01,장애인,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,6,0,3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
한밭가든아파트,22270,314,윗사정삼거리 - 오월드기점지,2023-01,국가유공자,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,3,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
한밭가든아파트,22270,316,대한통운종점 - 대한통운종점,2023-01,일반인,0,0,0,0,2,22,7,52,8,69,41,55,28,35,27,48,33,37,29,78,21,34,39,48,34,96,35,79,52,71,20,41,30,57,12,33,19,20,30,13,0,0,0,0,0,0,0,0,
한밭가든아파트,22270,316,대한통운종점 - 대한통운종점,2023-01,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,5,1,0,0,0,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,
한밭가든아파트,22270,316,대한통운종점 - 대한통운종점,2023-01,청소년,0,0,0,0,0,0,5,16,18,6,2,3,7,2,3,0,3,2,21,3,11,5,14,6,7,9,19,6,11,8,12,8,8,2,5,6,4,6,3,2,0,0,0,0,0,0,0,0,
한밭가든아파트,22270,316,대한통운종점 - 대한통운종점,2023-01,경로,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,1,0,4,0,0,0,1,0,4,3,1,1,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
한밭가든아파트,22270,316,대한통운종점 - 대한통운종점,2023-01,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
