정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
한밭도서관,22110,317,대전역동광장종점 - 대전역동광장종점,2023-06,일반인,0,0,0,0,13,4,30,22,62,30,59,28,66,47,59,43,78,55,82,32,77,53,97,31,132,45,112,54,162,66,65,23,66,27,60,10,58,16,0,0,0,0,0,0,0,0,0,0,
한밭도서관,22110,317,대전역동광장종점 - 대전역동광장종점,2023-06,어린이,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,3,2,6,4,5,0,2,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,
한밭도서관,22110,317,대전역동광장종점 - 대전역동광장종점,2023-06,청소년,0,0,0,0,2,3,0,30,0,2,2,1,7,1,2,1,12,2,9,12,26,7,27,11,37,5,60,7,40,4,21,7,47,2,39,2,64,9,0,0,0,0,0,0,0,0,0,0,
한밭도서관,22110,317,대전역동광장종점 - 대전역동광장종점,2023-06,경로,0,0,0,0,0,0,2,0,11,0,5,2,4,3,3,6,6,12,29,13,18,6,6,2,1,4,3,2,5,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
한밭도서관,22110,317,대전역동광장종점 - 대전역동광장종점,2023-06,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
한밭도서관,22110,317,대전역동광장종점 - 대전역동광장종점,2023-06,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,1,3,3,0,8,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
한밭도서관,22110,618,대전동신과학고 - 대전동신과학고,2023-06,일반인,0,0,0,0,98,52,199,49,396,138,235,116,160,89,220,92,201,113,180,119,138,104,168,135,237,115,206,147,222,162,83,89,95,98,97,94,104,80,9,7,0,0,0,0,0,0,0,0,
한밭도서관,22110,618,대전동신과학고 - 대전동신과학고,2023-06,어린이,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,4,1,2,0,1,1,5,4,5,1,1,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
한밭도서관,22110,618,대전동신과학고 - 대전동신과학고,2023-06,청소년,0,0,0,0,0,3,11,38,7,90,5,7,10,9,11,6,21,25,44,17,28,17,63,30,63,82,68,23,43,18,22,23,28,18,24,13,12,20,1,8,0,0,0,0,0,0,0,0,
한밭도서관,22110,618,대전동신과학고 - 대전동신과학고,2023-06,경로,0,0,0,0,2,0,5,16,9,14,7,7,7,2,6,9,7,6,10,3,8,3,14,10,12,20,11,9,2,3,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
한밭도서관,22110,618,대전동신과학고 - 대전동신과학고,2023-06,장애인,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,3,2,3,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
한밭도서관,22110,618,대전동신과학고 - 대전동신과학고,2023-06,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
