정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
한화생명이글스파크,21050,119,안산동 - 안산동,2023-03,일반인,0,0,1,4,6,4,6,13,26,21,30,7,25,9,38,11,59,13,66,29,54,4,127,1,293,4,210,1,133,2,51,1,64,2,51,0,13,0,0,0,0,0,0,0,0,0,0,0,
한화생명이글스파크,21050,119,안산동 - 안산동,2023-03,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
한화생명이글스파크,21050,119,안산동 - 안산동,2023-03,청소년,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,2,0,9,0,49,0,41,0,21,1,2,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,
한화생명이글스파크,21050,119,안산동 - 안산동,2023-03,경로,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,2,3,1,6,0,2,0,4,2,5,0,3,1,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
한화생명이글스파크,21050,119,안산동 - 안산동,2023-03,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
한화생명이글스파크,21050,119,안산동 - 안산동,2023-03,국가유공자,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
한화생명이글스파크,21050,802,봉산동기점 - 봉산동기점,2023-03,일반인,0,0,0,0,0,9,1,27,1,106,3,65,10,78,8,122,10,179,3,110,5,72,6,73,3,42,7,51,8,63,1,28,26,24,3,10,3,18,0,7,0,0,0,0,0,0,0,0,
한화생명이글스파크,21050,802,봉산동기점 - 봉산동기점,2023-03,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
한화생명이글스파크,21050,802,봉산동기점 - 봉산동기점,2023-03,청소년,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,8,0,24,0,7,0,1,1,6,0,1,0,14,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,
한화생명이글스파크,21050,802,봉산동기점 - 봉산동기점,2023-03,경로,0,0,0,0,19,4,0,6,0,2,1,7,0,8,1,10,0,6,0,5,0,2,1,6,0,3,0,4,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
한화생명이글스파크,21050,802,봉산동기점 - 봉산동기점,2023-03,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
